ZT	CT	PRR37.31	Campo	Organ	Splice	Temperature	Light
-1.5	-1.953488372	0.114725586	C2	I5	FS	17	0
0.5	0.226415094	0.143113684	C2	I5	FS	17	0
2.5	2.037735849	0.100736963	C2	I5	FS	18	0.744444444
4.5	3.849056604	0.139076411	C2	I5	FS	22	1.907407407
6.5	5.660377358	0.161560447	C2	I5	FS	26	2.533333333
8.5	7.471698113	0.14611849	C2	I5	FS	28	2.559259259
10.5	9.283018868	0.149260273	C2	I5	FS	29	1.385185185
12.5	11.09433962	0.088754305	C2	I5	FS	29	0.496296296
14.5	13.11627907	0.112960715	C2	I5	FS	26	0
16.5	15.34883721	0.066635355	C2	I5	FS	23	0
18.5	17.58139535	0.04227805	C2	I5	FS	21	0
20.5	19.81395349	0.091307677	C2	I5	FS	19	0
22.5	22.04651163	0.040774996	C2	I5	FS	18	0
24.5	24.22641509	0.011422873	C2	I5	FS	18	0
-1.5	-1.953488372	0.079861287	C2	I5	FS	17	0
0.5	0.226415094	0.131177866	C2	I5	FS	17	0
2.5	2.037735849	0.091461483	C2	I5	FS	18	0.744444444
4.5	3.849056604	0.194540234	C2	I5	FS	22	1.907407407
6.5	5.660377358	0.18815646	C2	I5	FS	26	2.533333333
8.5	7.471698113	0.126903673	C2	I5	FS	28	2.559259259
10.5	9.283018868	0.146625505	C2	I5	FS	29	1.385185185
12.5	11.09433962	0.08833157	C2	I5	FS	29	0.496296296
14.5	13.11627907	0.242246498	C2	I5	FS	26	0
16.5	15.34883721	0.246412582	C2	I5	FS	23	0
18.5	17.58139535	0.159657691	C2	I5	FS	21	0
20.5	19.81395349	0.107386395	C2	I5	FS	19	0
22.5	22.04651163	0.113247432	C2	I5	FS	18	0
24.5	24.22641509	0.202063441	C2	I5	FS	18	0
-1.5	-1.953488372	0.053357675	C2	I5	FS	17	0
0.5	0.226415094	0.068822639	C2	I5	FS	17	0
2.5	2.037735849	0.066107848	C2	I5	FS	18	0.744444444
4.5	3.849056604	0.115616386	C2	I5	FS	22	1.907407407
6.5	5.660377358	0.13925243	C2	I5	FS	26	2.533333333
8.5	7.471698113	0.27814063	C2	I5	FS	28	2.559259259
10.5	9.283018868	0.111668966	C2	I5	FS	29	1.385185185
12.5	11.09433962	0.114922016	C2	I5	FS	29	0.496296296
14.5	13.11627907	0.129453251	C2	I5	FS	26	0
16.5	15.34883721	0.193687715	C2	I5	FS	23	0
18.5	17.58139535	0.060985936	C2	I5	FS	21	0
20.5	19.81395349	0.012481448	C2	I5	FS	19	0
22.5	22.04651163	0.023218751	C2	I5	FS	18	0
24.5	24.22641509	0.018270817	C2	I5	FS	18	0
-1.5	-1.953488372	0.131260168	C2	I5	AS	17	0
0.5	0.226415094	0.040220284	C2	I5	AS	17	0
2.5	2.037735849	0.02835007	C2	I5	AS	18	0.744444444
4.5	3.849056604	0.055792281	C2	I5	AS	22	1.907407407
6.5	5.660377358	0.075956262	C2	I5	AS	26	2.533333333
8.5	7.471698113	0.068460085	C2	I5	AS	28	2.559259259
10.5	9.283018868	0.07496749	C2	I5	AS	29	1.385185185
12.5	11.09433962	0.039859476	C2	I5	AS	29	0.496296296
14.5	13.11627907	0.043204231	C2	I5	AS	26	0
16.5	15.34883721	0.010166552	C2	I5	AS	23	0
18.5	17.58139535	0.00986322	C2	I5	AS	21	0
20.5	19.81395349	0.038884032	C2	I5	AS	19	0
22.5	22.04651163	0.008283072	C2	I5	AS	18	0
24.5	24.22641509	0.004209109	C2	I5	AS	18	0
-1.5	-1.953488372	0.016398622	C2	I5	AS	17	0
0.5	0.226415094	0.020809162	C2	I5	AS	17	0
2.5	2.037735849	0.021271286	C2	I5	AS	18	0.744444444
4.5	3.849056604	0.074469342	C2	I5	AS	22	1.907407407
6.5	5.660377358	0.106102104	C2	I5	AS	26	2.533333333
8.5	7.471698113	0.064246095	C2	I5	AS	28	2.559259259
10.5	9.283018868	0.084268669	C2	I5	AS	29	1.385185185
12.5	11.09433962	0.042995283	C2	I5	AS	29	0.496296296
14.5	13.11627907	0.08615371	C2	I5	AS	26	0
16.5	15.34883721	0.043817617	C2	I5	AS	23	0
18.5	17.58139535	0.022542056	C2	I5	AS	21	0
20.5	19.81395349	0.025288901	C2	I5	AS	19	0
22.5	22.04651163	0.018890864	C2	I5	AS	18	0
24.5	24.22641509	0.04441768	C2	I5	AS	18	0
-1.5	-1.953488372	0.008797744	C2	I5	AS	17	0
0.5	0.226415094	0.017057934	C2	I5	AS	17	0
2.5	2.037735849	0.017061527	C2	I5	AS	18	0.744444444
4.5	3.849056604	0.03804185	C2	I5	AS	22	1.907407407
6.5	5.660377358	0.087872336	C2	I5	AS	26	2.533333333
8.5	7.471698113	0.138303156	C2	I5	AS	28	2.559259259
10.5	9.283018868	0.064840524	C2	I5	AS	29	1.385185185
12.5	11.09433962	0.047480188	C2	I5	AS	29	0.496296296
14.5	13.11627907	0.04628327	C2	I5	AS	26	0
16.5	15.34883721	0.032849302	C2	I5	AS	23	0
18.5	17.58139535	0.013441113	C2	I5	AS	21	0
20.5	19.81395349	0.002599219	C2	I5	AS	19	0
22.5	22.04651163	0.005712903	C2	I5	AS	18	0
24.5	24.22641509	0.006273574	C2	I5	AS	18	0

