ZT	CT	PRR37.31	Campo	Organ	Splice	Temperature	Light
-1.5	-1.953488372	0.048550523	C2	I1	FS	17	0
0.5	0.226415094	0.027621785	C2	I1	FS	17	0
2.5	2.037735849	0.055979471	C2	I1	FS	18	0.744444444
4.5	3.849056604	0.052759877	C2	I1	FS	22	1.907407407
6.5	5.660377358	0.081053519	C2	I1	FS	26	2.533333333
8.5	7.471698113	0.032616732	C2	I1	FS	28	2.559259259
10.5	9.283018868	0.028197402	C2	I1	FS	29	1.385185185
12.5	11.09433962	0.010311119	C2	I1	FS	29	0.496296296
14.5	13.11627907	0.01015668	C2	I1	FS	26	0
16.5	15.34883721	0.009972172	C2	I1	FS	23	0
18.5	17.58139535	0.022242331	C2	I1	FS	21	0
20.5	19.81395349	0.03061785	C2	I1	FS	19	0
22.5	22.04651163	0.022470435	C2	I1	FS	18	0
24.5	24.22641509	0.021306777	C2	I1	FS	18	0
-1.5	-1.953488372	0.041607719	C2	I1	FS	17	0
0.5	0.226415094	0.021959223	C2	I1	FS	17	0
2.5	2.037735849	0.07150702	C2	I1	FS	18	0.744444444
4.5	3.849056604	0.095890935	C2	I1	FS	22	1.907407407
6.5	5.660377358	0.02944256	C2	I1	FS	26	2.533333333
8.5	7.471698113	0.075875029	C2	I1	FS	28	2.559259259
10.5	9.283018868	0.023512982	C2	I1	FS	29	1.385185185
12.5	11.09433962	0.043637609	C2	I1	FS	29	0.496296296
14.5	13.11627907	0.048029551	C2	I1	FS	26	0
16.5	15.34883721	0.020191542	C2	I1	FS	23	0
18.5	17.58139535	0.099304939	C2	I1	FS	21	0
20.5	19.81395349	0.065489437	C2	I1	FS	19	0
22.5	22.04651163	0.039335388	C2	I1	FS	18	0
24.5	24.22641509	0.025511226	C2	I1	FS	18	0
-1.5	-1.953488372	0.015920605	C2	I1	FS	17	0
0.5	0.226415094	0.114965774	C2	I1	FS	17	0
2.5	2.037735849	0.053371255	C2	I1	FS	18	0.744444444
4.5	3.849056604	0.081910376	C2	I1	FS	22	1.907407407
6.5	5.660377358	0.020595714	C2	I1	FS	26	2.533333333
8.5	7.471698113	0.0245403	C2	I1	FS	28	2.559259259
10.5	9.283018868	0.012675661	C2	I1	FS	29	1.385185185
12.5	11.09433962	0.025392816	C2	I1	FS	29	0.496296296
14.5	13.11627907	0.046273861	C2	I1	FS	26	0
16.5	15.34883721	0.012377249	C2	I1	FS	23	0
18.5	17.58139535	0.133672829	C2	I1	FS	21	0
20.5	19.81395349	0.013906593	C2	I1	FS	19	0
22.5	22.04651163	0.023047782	C2	I1	FS	18	0
24.5	24.22641509	0.032406288	C2	I1	FS	18	0
-1.5	-1.953488372	0.011355006	C2	I1	AS	17	0
0.5	0.226415094	0.008652003	C2	I1	AS	17	0
2.5	2.037735849	0.010284025	C2	I1	AS	18	0.744444444
4.5	3.849056604	0.016711317	C2	I1	AS	22	1.907407407
6.5	5.660377358	0.0416654	C2	I1	AS	26	2.533333333
8.5	7.471698113	0.021978763	C2	I1	AS	28	2.559259259
10.5	9.283018868	0.016194454	C2	I1	AS	29	1.385185185
12.5	11.09433962	0.006420958	C2	I1	AS	29	0.496296296
14.5	13.11627907	0.003277548	C2	I1	AS	26	0
16.5	15.34883721	0.003410861	C2	I1	AS	23	0
18.5	17.58139535	0.004909741	C2	I1	AS	21	0
20.5	19.81395349	0.010087464	C2	I1	AS	19	0
22.5	22.04651163	0.005774831	C2	I1	AS	18	0
24.5	24.22641509	0.006215086	C2	I1	AS	18	0
-1.5	-1.953488372	0.008361086	C2	I1	AS	17	0
0.5	0.226415094	0.003372292	C2	I1	AS	17	0
2.5	2.037735849	0.02307504	C2	I1	AS	18	0.744444444
4.5	3.849056604	0.034696969	C2	I1	AS	22	1.907407407
6.5	5.660377358	0.020121642	C2	I1	AS	26	2.533333333
8.5	7.471698113	0.04984261	C2	I1	AS	28	2.559259259
10.5	9.283018868	0.014530542	C2	I1	AS	29	1.385185185
12.5	11.09433962	0.025459053	C2	I1	AS	29	0.496296296
14.5	13.11627907	0.019355797	C2	I1	AS	26	0
16.5	15.34883721	0.008308171	C2	I1	AS	23	0
18.5	17.58139535	0.027262154	C2	I1	AS	21	0
20.5	19.81395349	0.012462766	C2	I1	AS	19	0
22.5	22.04651163	0.010881153	C2	I1	AS	18	0
24.5	24.22641509	0.006145638	C2	I1	AS	18	0
-1.5	-1.953488372	0.00454345	C2	I1	AS	17	0
0.5	0.226415094	0.025744563	C2	I1	AS	17	0
2.5	2.037735849	0.008410083	C2	I1	AS	18	0.744444444
4.5	3.849056604	0.030027349	C2	I1	AS	22	1.907407407
6.5	5.660377358	0.011936278	C2	I1	AS	26	2.533333333
8.5	7.471698113	0.017495304	C2	I1	AS	28	2.559259259
10.5	9.283018868	0.006579334	C2	I1	AS	29	1.385185185
12.5	11.09433962	0.015642216	C2	I1	AS	29	0.496296296
14.5	13.11627907	0.015387366	C2	I1	AS	26	0
16.5	15.34883721	0.005098656	C2	I1	AS	23	0
18.5	17.58139535	0.023007639	C2	I1	AS	21	0
20.5	19.81395349	0.002286765	C2	I1	AS	19	0
22.5	22.04651163	0.008468694	C2	I1	AS	18	0
24.5	24.22641509	0.010963321	C2	I1	AS	18	0
