ZT	CT	LHY.1	Campo	Organ	Splice	Temperature	Light
-1.5	-1.953488372	0.010803927	C2	I1	FS	10	0
0.5	0.226415094	0.04322659	C2	I1	FS	10	0.073333333
2.5	2.037735849	0.072158116	C2	I1	FS	19	1.166666667
4.5	3.849056604	0.160731784	C2	I1	FS	24	2.313333333
6.5	5.660377358	0.071330855	C2	I1	FS	26	2.786666667
8.5	7.471698113	0.013364932	C2	I1	FS	27	2.206666667
10.5	9.283018868	0.004682854	C2	I1	FS	26	0.866666667
12.5	11.09433962	0.009590719	C2	I1	FS	21	0
14.5	13.11627907	0.001535188	C2	I1	FS	18	0
16.5	15.34883721	0.002951314	C2	I1	FS	14	0
18.5	17.58139535	0.002552323	C2	I1	FS	14	0
20.5	19.81395349	0.008428661	C2	I1	FS	13	0
22.5	22.04651163	0.006097478	C2	I1	FS	12	0
24.5	24.22641509	0.022910513	C2	I1	FS	12	0.073333333
-1.5	-1.953488372	0.023505945	C2	I1	FS	10	0
0.5	0.226415094	0.029097076	C2	I1	FS	10	0.073333333
2.5	2.037735849	0.13854457	C2	I1	FS	19	1.166666667
4.5	3.849056604	0.116625014	C2	I1	FS	24	2.313333333
6.5	5.660377358	0.077033687	C2	I1	FS	26	2.786666667
8.5	7.471698113	0.051503887	C2	I1	FS	27	2.206666667
10.5	9.283018868	0.012610857	C2	I1	FS	26	0.866666667
12.5	11.09433962	0.010720687	C2	I1	FS	21	0
14.5	13.11627907	0.010199812	C2	I1	FS	18	0
16.5	15.34883721	0.005205342	C2	I1	FS	14	0
18.5	17.58139535	0.002229874	C2	I1	FS	14	0
20.5	19.81395349	0.005987435	C2	I1	FS	13	0
22.5	22.04651163	0.032764221	C2	I1	FS	12	0
24.5	24.22641509	0.113566837	C2	I1	FS	12	0.073333333
-1.5	-1.953488372	0.044426491	C2	I1	FS	10	0
0.5	0.226415094	0.203508445	C2	I1	FS	10	0.073333333
2.5	2.037735849	0.285937274	C2	I1	FS	19	1.166666667
4.5	3.849056604	0.55657111	C2	I1	FS	24	2.313333333
6.5	5.660377358	0.105991506	C2	I1	FS	26	2.786666667
8.5	7.471698113	0.046612784	C2	I1	FS	27	2.206666667
10.5	9.283018868	0.005730809	C2	I1	FS	26	0.866666667
12.5	11.09433962	0.002591104	C2	I1	FS	21	0
14.5	13.11627907	0.004626939	C2	I1	FS	18	0
16.5	15.34883721	0.006321293	C2	I1	FS	14	0
18.5	17.58139535	0.002778973	C2	I1	FS	14	0
20.5	19.81395349	0.007314364	C2	I1	FS	13	0
22.5	22.04651163	0.0102193	C2	I1	FS	12	0
24.5	24.22641509	0.075050383	C2	I1	FS	12	0.073333333
-1.5	-1.953488372	0.003723256	C2	I1	AS	10	0
0.5	0.226415094	0.012629808	C2	I1	AS	10	0.073333333
2.5	2.037735849	0.012367049	C2	I1	AS	19	1.166666667
4.5	3.849056604	0.00721647	C2	I1	AS	24	2.313333333
6.5	5.660377358	0	C2	I1	AS	26	2.786666667
8.5	7.471698113	0	C2	I1	AS	27	2.206666667
10.5	9.283018868	0	C2	I1	AS	26	0.866666667
12.5	11.09433962	0	C2	I1	AS	21	0
14.5	13.11627907	0	C2	I1	AS	18	0
16.5	15.34883721	0	C2	I1	AS	14	0
18.5	17.58139535	0	C2	I1	AS	14	0
20.5	19.81395349	0.00219199	C2	I1	AS	13	0
22.5	22.04651163	0.00174448	C2	I1	AS	12	0
24.5	24.22641509	0.004816082	C2	I1	AS	12	0.073333333
-1.5	-1.953488372	0.007548264	C2	I1	AS	10	0
0.5	0.226415094	0.006842901	C2	I1	AS	10	0.073333333
2.5	2.037735849	0.022940282	C2	I1	AS	19	1.166666667
4.5	3.849056604	0.006269443	C2	I1	AS	24	2.313333333
6.5	5.660377358	0	C2	I1	AS	26	2.786666667
8.5	7.471698113	0	C2	I1	AS	27	2.206666667
10.5	9.283018868	0	C2	I1	AS	26	0.866666667
12.5	11.09433962	0	C2	I1	AS	21	0
14.5	13.11627907	0	C2	I1	AS	18	0
16.5	15.34883721	0	C2	I1	AS	14	0
18.5	17.58139535	0	C2	I1	AS	14	0
20.5	19.81395349	0.001711918	C2	I1	AS	13	0
22.5	22.04651163	0.007870409	C2	I1	AS	12	0
24.5	24.22641509	0.019615966	C2	I1	AS	12	0.073333333
-1.5	-1.953488372	0.012021983	C2	I1	AS	10	0
0.5	0.226415094	0.040140231	C2	I1	AS	10	0.073333333
2.5	2.037735849	0.035890058	C2	I1	AS	19	1.166666667
4.5	3.849056604	0.014982972	C2	I1	AS	24	2.313333333
6.5	5.660377358	0	C2	I1	AS	26	2.786666667
8.5	7.471698113	0	C2	I1	AS	27	2.206666667
10.5	9.283018868	0	C2	I1	AS	26	0.866666667
12.5	11.09433962	0	C2	I1	AS	21	0
14.5	13.11627907	0	C2	I1	AS	18	0
16.5	15.34883721	0	C2	I1	AS	14	0
18.5	17.58139535	0	C2	I1	AS	14	0
20.5	19.81395349	0	C2	I1	AS	13	0
22.5	22.04651163	0.002603608	C2	I1	AS	12	0
24.5	24.22641509	0.009736217	C2	I1	AS	12	0.073333333
