ZT	CT	PRR37.31	Campo	Organ	Splice	Temperature	Light
-1.5	-1.953488372	0.048550523	C2	I1	FS	17	0
-1.5	-1.953488372	0.041607719	C2	I1	FS	17	0
-1.5	-1.953488372	0.015920605	C2	I1	FS	17	0
0.5	0.226415094	0.027621785	C2	I1	FS	17	0
0.5	0.226415094	0.021959223	C2	I1	FS	17	0
0.5	0.226415094	0.114965774	C2	I1	FS	17	0
2.5	2.037735849	0.055979471	C2	I1	FS	18	0.744444444
2.5	2.037735849	0.07150702	C2	I1	FS	18	0.744444444
2.5	2.037735849	0.053371255	C2	I1	FS	18	0.744444444
4.5	3.849056604	0.052759877	C2	I1	FS	22	1.907407407
4.5	3.849056604	0.095890935	C2	I1	FS	22	1.907407407
4.5	3.849056604	0.081910376	C2	I1	FS	22	1.907407407
6.5	5.660377358	0.081053519	C2	I1	FS	26	2.533333333
6.5	5.660377358	0.02944256	C2	I1	FS	26	2.533333333
6.5	5.660377358	0.020595714	C2	I1	FS	26	2.533333333
8.5	7.471698113	0.032616732	C2	I1	FS	28	2.559259259
8.5	7.471698113	0.075875029	C2	I1	FS	28	2.559259259
8.5	7.471698113	0.0245403	C2	I1	FS	28	2.559259259
10.5	9.283018868	0.028197402	C2	I1	FS	29	1.385185185
10.5	9.283018868	0.023512982	C2	I1	FS	29	1.385185185
10.5	9.283018868	0.012675661	C2	I1	FS	29	1.385185185
12.5	11.09433962	0.010311119	C2	I1	FS	29	0.496296296
12.5	11.09433962	0.043637609	C2	I1	FS	29	0.496296296
12.5	11.09433962	0.025392816	C2	I1	FS	29	0.496296296
14.5	13.11627907	0.01015668	C2	I1	FS	26	0
14.5	13.11627907	0.048029551	C2	I1	FS	26	0
14.5	13.11627907	0.046273861	C2	I1	FS	26	0
16.5	15.34883721	0.009972172	C2	I1	FS	23	0
16.5	15.34883721	0.020191542	C2	I1	FS	23	0
16.5	15.34883721	0.012377249	C2	I1	FS	23	0
18.5	17.58139535	0.022242331	C2	I1	FS	21	0
18.5	17.58139535	0.099304939	C2	I1	FS	21	0
18.5	17.58139535	0.133672829	C2	I1	FS	21	0
20.5	19.81395349	0.03061785	C2	I1	FS	19	0
20.5	19.81395349	0.065489437	C2	I1	FS	19	0
20.5	19.81395349	0.013906593	C2	I1	FS	19	0
22.5	22.04651163	0.022470435	C2	I1	FS	18	0
22.5	22.04651163	0.039335388	C2	I1	FS	18	0
22.5	22.04651163	0.023047782	C2	I1	FS	18	0
24.5	24.22641509	0.021306777	C2	I1	FS	18	0
24.5	24.22641509	0.025511226	C2	I1	FS	18	0
24.5	24.22641509	0.032406288	C2	I1	FS	18	0
-1.5	-1.953488372	0.114725586	C2	I5	FS	17	0
-1.5	-1.953488372	0.079861287	C2	I5	FS	17	0
-1.5	-1.953488372	0.053357675	C2	I5	FS	17	0
0.5	0.226415094	0.143113684	C2	I5	FS	17	0
0.5	0.226415094	0.131177866	C2	I5	FS	17	0
0.5	0.226415094	0.068822639	C2	I5	FS	17	0
2.5	2.037735849	0.100736963	C2	I5	FS	18	0.744444444
2.5	2.037735849	0.091461483	C2	I5	FS	18	0.744444444
2.5	2.037735849	0.066107848	C2	I5	FS	18	0.744444444
4.5	3.849056604	0.139076411	C2	I5	FS	22	1.907407407
4.5	3.849056604	0.194540234	C2	I5	FS	22	1.907407407
4.5	3.849056604	0.115616386	C2	I5	FS	22	1.907407407
6.5	5.660377358	0.161560447	C2	I5	FS	26	2.533333333
6.5	5.660377358	0.18815646	C2	I5	FS	26	2.533333333
6.5	5.660377358	0.13925243	C2	I5	FS	26	2.533333333
8.5	7.471698113	0.14611849	C2	I5	FS	28	2.559259259
8.5	7.471698113	0.126903673	C2	I5	FS	28	2.559259259
8.5	7.471698113	0.27814063	C2	I5	FS	28	2.559259259
10.5	9.283018868	0.149260273	C2	I5	FS	29	1.385185185
10.5	9.283018868	0.146625505	C2	I5	FS	29	1.385185185
10.5	9.283018868	0.111668966	C2	I5	FS	29	1.385185185
12.5	11.09433962	0.088754305	C2	I5	FS	29	0.496296296
12.5	11.09433962	0.08833157	C2	I5	FS	29	0.496296296
12.5	11.09433962	0.114922016	C2	I5	FS	29	0.496296296
14.5	13.11627907	0.112960715	C2	I5	FS	26	0
14.5	13.11627907	0.242246498	C2	I5	FS	26	0
14.5	13.11627907	0.129453251	C2	I5	FS	26	0
16.5	15.34883721	0.066635355	C2	I5	FS	23	0
16.5	15.34883721	0.246412582	C2	I5	FS	23	0
16.5	15.34883721	0.193687715	C2	I5	FS	23	0
18.5	17.58139535	0.04227805	C2	I5	FS	21	0
18.5	17.58139535	0.159657691	C2	I5	FS	21	0
18.5	17.58139535	0.060985936	C2	I5	FS	21	0
20.5	19.81395349	0.091307677	C2	I5	FS	19	0
20.5	19.81395349	0.107386395	C2	I5	FS	19	0
20.5	19.81395349	0.012481448	C2	I5	FS	19	0
22.5	22.04651163	0.040774996	C2	I5	FS	18	0
22.5	22.04651163	0.113247432	C2	I5	FS	18	0
22.5	22.04651163	0.023218751	C2	I5	FS	18	0
24.5	24.22641509	0.011422873	C2	I5	FS	18	0
24.5	24.22641509	0.202063441	C2	I5	FS	18	0
24.5	24.22641509	0.018270817	C2	I5	FS	18	0
-1.5	-1.953488372	0.185803747	C2	L1	FS	17	0
-1.5	-1.953488372	0.248899033	C2	L1	FS	17	0
-1.5	-1.953488372	0.086888491	C2	L1	FS	17	0
0.5	0.226415094	0.033433298	C2	L1	FS	17	0
0.5	0.226415094	0.097581576	C2	L1	FS	17	0
0.5	0.226415094	0.087041413	C2	L1	FS	17	0
2.5	2.037735849	0.042526101	C2	L1	FS	18	0.744444444
2.5	2.037735849	0.172867824	C2	L1	FS	18	0.744444444
2.5	2.037735849	0.038814336	C2	L1	FS	18	0.744444444
4.5	3.849056604	0.215728388	C2	L1	FS	22	1.907407407
4.5	3.849056604	0.217918087	C2	L1	FS	22	1.907407407
4.5	3.849056604	0.195987103	C2	L1	FS	22	1.907407407
6.5	5.660377358	0.659723168	C2	L1	FS	26	2.533333333
6.5	5.660377358	0.908910154	C2	L1	FS	26	2.533333333
6.5	5.660377358	1.351463724	C2	L1	FS	26	2.533333333
8.5	7.471698113	0.407375798	C2	L1	FS	28	2.559259259
8.5	7.471698113	0.777229814	C2	L1	FS	28	2.559259259
8.5	7.471698113	0.610592165	C2	L1	FS	28	2.559259259
10.5	9.283018868	0.642116443	C2	L1	FS	29	1.385185185
10.5	9.283018868	0.695438893	C2	L1	FS	29	1.385185185
10.5	9.283018868	0.286792044	C2	L1	FS	29	1.385185185
12.5	11.09433962	0.339021273	C2	L1	FS	29	0.496296296
12.5	11.09433962	0.407215552	C2	L1	FS	29	0.496296296
12.5	11.09433962	0.233736584	C2	L1	FS	29	0.496296296
14.5	13.11627907	0.782676222	C2	L1	FS	26	0
14.5	13.11627907	0.512333752	C2	L1	FS	26	0
14.5	13.11627907	0.094000172	C2	L1	FS	26	0
16.5	15.34883721	0.542205478	C2	L1	FS	23	0
16.5	15.34883721	0.620974152	C2	L1	FS	23	0
16.5	15.34883721	0.074896625	C2	L1	FS	23	0
18.5	17.58139535	0.529718099	C2	L1	FS	21	0
18.5	17.58139535	0.234748455	C2	L1	FS	21	0
18.5	17.58139535	0.039546174	C2	L1	FS	21	0
20.5	19.81395349	0.058933553	C2	L1	FS	19	0
20.5	19.81395349	0.11482099	C2	L1	FS	19	0
20.5	19.81395349	0.015317592	C2	L1	FS	19	0
22.5	22.04651163	0	C2	L1	FS	18	0
22.5	22.04651163	0.196822169	C2	L1	FS	18	0
22.5	22.04651163	0.151139724	C2	L1	FS	18	0
24.5	24.22641509	0	C2	L1	FS	18	0
24.5	24.22641509	0.160226628	C2	L1	FS	18	0
24.5	24.22641509	0.124210542	C2	L1	FS	18	0
