ZT	CT	LHY.4	Campo	Organ	Splice	Temperature	Light
10.5	9.283018868	0.001372338	C2	L1	FS	29	1.385185185
10.5	9.283018868	0.00217605	C2	L1	FS	29	1.385185185
12.5	11.09433962	0.011015255	C2	L1	FS	29	0.496296296
12.5	11.09433962	0	C2	L1	FS	29	0.496296296
12.5	11.09433962	0	C2	L1	FS	29	0.496296296
14.5	13.11627907	0.011755913	C2	L1	FS	26	0
14.5	13.11627907	0	C2	L1	FS	26	0
14.5	13.11627907	0	C2	L1	FS	26	0
16.5	15.34883721	0.00913285	C2	L1	FS	23	0
16.5	15.34883721	0	C2	L1	FS	23	0
16.5	15.34883721	0	C2	L1	FS	23	0
18.5	17.58139535	0.027676433	C2	L1	FS	21	0
18.5	17.58139535	0.001967369	C2	L1	FS	21	0
18.5	17.58139535	0.00642365	C2	L1	FS	21	0
20.5	19.81395349	0.027889965	C2	L1	FS	19	0
20.5	19.81395349	0	C2	L1	FS	19	0
20.5	19.81395349	0.007291964	C2	L1	FS	19	0
22.5	22.04651163	0.47404138	C2	L1	FS	18	0
22.5	22.04651163	0.031592112	C2	L1	FS	18	0
22.5	22.04651163	0.1150389	C2	L1	FS	18	0
24.5	24.22641509	0.437398676	C2	L1	FS	18	0
24.5	24.22641509	0.032803139	C2	L1	FS	18	0
24.5	24.22641509	0.101796401	C2	L1	FS	18	0
