ZT	CT	LHY.1	Campo	Organ	Splice	Temperature	Light
-1.5	-1.953488372	0.010803927	C2	I1	FS	10	0
-1.5	-1.953488372	0.023505945	C2	I1	FS	10	0
-1.5	-1.953488372	0.044426491	C2	I1	FS	10	0
0.5	0.226415094	0.04322659	C2	I1	FS	10	0.073333333
0.5	0.226415094	0.029097076	C2	I1	FS	10	0.073333333
0.5	0.226415094	0.203508445	C2	I1	FS	10	0.073333333
2.5	2.037735849	0.072158116	C2	I1	FS	19	1.166666667
2.5	2.037735849	0.13854457	C2	I1	FS	19	1.166666667
2.5	2.037735849	0.285937274	C2	I1	FS	19	1.166666667
4.5	3.849056604	0.160731784	C2	I1	FS	24	2.313333333
4.5	3.849056604	0.116625014	C2	I1	FS	24	2.313333333
4.5	3.849056604	0.55657111	C2	I1	FS	24	2.313333333
6.5	5.660377358	0.071330855	C2	I1	FS	26	2.786666667
6.5	5.660377358	0.077033687	C2	I1	FS	26	2.786666667
6.5	5.660377358	0.105991506	C2	I1	FS	26	2.786666667
8.5	7.471698113	0.013364932	C2	I1	FS	27	2.206666667
8.5	7.471698113	0.051503887	C2	I1	FS	27	2.206666667
8.5	7.471698113	0.046612784	C2	I1	FS	27	2.206666667
10.5	9.283018868	0.004682854	C2	I1	FS	26	0.866666667
10.5	9.283018868	0.012610857	C2	I1	FS	26	0.866666667
10.5	9.283018868	0.005730809	C2	I1	FS	26	0.866666667
12.5	11.09433962	0.009590719	C2	I1	FS	21	0
12.5	11.09433962	0.010720687	C2	I1	FS	21	0
12.5	11.09433962	0.002591104	C2	I1	FS	21	0
14.5	13.11627907	0.001535188	C2	I1	FS	18	0
14.5	13.11627907	0.010199812	C2	I1	FS	18	0
14.5	13.11627907	0.004626939	C2	I1	FS	18	0
16.5	15.34883721	0.002951314	C2	I1	FS	14	0
16.5	15.34883721	0.005205342	C2	I1	FS	14	0
16.5	15.34883721	0.006321293	C2	I1	FS	14	0
18.5	17.58139535	0.002552323	C2	I1	FS	14	0
18.5	17.58139535	0.002229874	C2	I1	FS	14	0
18.5	17.58139535	0.002778973	C2	I1	FS	14	0
20.5	19.81395349	0.008428661	C2	I1	FS	13	0
20.5	19.81395349	0.005987435	C2	I1	FS	13	0
20.5	19.81395349	0.007314364	C2	I1	FS	13	0
22.5	22.04651163	0.006097478	C2	I1	FS	12	0
22.5	22.04651163	0.032764221	C2	I1	FS	12	0
22.5	22.04651163	0.0102193	C2	I1	FS	12	0
24.5	24.22641509	0.022910513	C2	I1	FS	12	0.073333333
24.5	24.22641509	0.113566837	C2	I1	FS	12	0.073333333
24.5	24.22641509	0.075050383	C2	I1	FS	12	0.073333333
-1.5	-1.953488372	0.020963215	C2	I5	FS	17	0
-1.5	-1.953488372	0.025562557	C2	I5	FS	17	0
-1.5	-1.953488372	0.009951363	C2	I5	FS	17	0
0.5	0.226415094	0.012494354	C2	I5	FS	17	0
0.5	0.226415094	0.045196792	C2	I5	FS	17	0
0.5	0.226415094	0.023187684	C2	I5	FS	17	0
2.5	2.037735849	0.035759626	C2	I5	FS	18	0.744444444
2.5	2.037735849	0.185945697	C2	I5	FS	18	0.744444444
2.5	2.037735849	0.073695699	C2	I5	FS	18	0.744444444
4.5	3.849056604	0.21158718	C2	I5	FS	22	1.907407407
4.5	3.849056604	0.483394013	C2	I5	FS	22	1.907407407
4.5	3.849056604	0.16854337	C2	I5	FS	22	1.907407407
6.5	5.660377358	0.027816821	C2	I5	FS	26	2.533333333
6.5	5.660377358	0.183519993	C2	I5	FS	26	2.533333333
6.5	5.660377358	0.078647552	C2	I5	FS	26	2.533333333
8.5	7.471698113	0.009378789	C2	I5	FS	28	2.559259259
8.5	7.471698113	0.012389385	C2	I5	FS	28	2.559259259
8.5	7.471698113	0.011719579	C2	I5	FS	28	2.559259259
10.5	9.283018868	0	C2	I5	FS	29	1.385185185
10.5	9.283018868	0.001983466	C2	I5	FS	29	1.385185185
10.5	9.283018868	0.003670779	C2	I5	FS	29	1.385185185
12.5	11.09433962	0	C2	I5	FS	29	0.496296296
12.5	11.09433962	0	C2	I5	FS	29	0.496296296
12.5	11.09433962	0	C2	I5	FS	29	0.496296296
14.5	13.11627907	0	C2	I5	FS	26	0
14.5	13.11627907	0	C2	I5	FS	26	0
14.5	13.11627907	0	C2	I5	FS	26	0
16.5	15.34883721	0	C2	I5	FS	23	0
16.5	15.34883721	0	C2	I5	FS	23	0
16.5	15.34883721	0	C2	I5	FS	23	0
18.5	17.58139535	0	C2	I5	FS	21	0
18.5	17.58139535	0	C2	I5	FS	21	0
18.5	17.58139535	0	C2	I5	FS	21	0
20.5	19.81395349	0.005570351	C2	I5	FS	19	0
20.5	19.81395349	0.003463509	C2	I5	FS	19	0
