ZT	CT	PRR37.32	Campo	Organ	Splice	Temperature	Light
8.5	7.471698113	0.31977098	C2	L1	FS	28	2.559259259
10.5	9.283018868	0.154497759	C2	L1	FS	29	1.385185185
10.5	9.283018868	0.253401013	C2	L1	FS	29	1.385185185
10.5	9.283018868	0.834658684	C2	L1	FS	29	1.385185185
12.5	11.09433962	0.116955463	C2	L1	FS	29	0.496296296
12.5	11.09433962	0.198285678	C2	L1	FS	29	0.496296296
12.5	11.09433962	0.449618477	C2	L1	FS	29	0.496296296
14.5	13.11627907	0.117722082	C2	L1	FS	26	0
14.5	13.11627907	0.90494697	C2	L1	FS	26	0
14.5	13.11627907	0.424272857	C2	L1	FS	26	0
16.5	15.34883721	0.121637891	C2	L1	FS	23	0
16.5	15.34883721	0.577013064	C2	L1	FS	23	0
16.5	15.34883721	0.3213031	C2	L1	FS	23	0
18.5	17.58139535	0.04226992	C2	L1	FS	21	0
18.5	17.58139535	0.251310544	C2	L1	FS	21	0
18.5	17.58139535	0.108589597	C2	L1	FS	21	0
20.5	19.81395349	0.021328942	C2	L1	FS	19	0
20.5	19.81395349	0.015952946	C2	L1	FS	19	0
20.5	19.81395349	0.015009381	C2	L1	FS	19	0
22.5	22.04651163	0.035181966	C2	L1	FS	18	0
22.5	22.04651163	0.049474145	C2	L1	FS	18	0
22.5	22.04651163	0.040964344	C2	L1	FS	18	0
24.5	24.22641509	0.026321387	C2	L1	FS	18	0
24.5	24.22641509	0.049799543	C2	L1	FS	18	0
24.5	24.22641509	0.043153351	C2	L1	FS	18	0
