ZT	CT	PRR73.3	Campo	Organ	Splice	Temperature	Light
-1.5	-1.953488372	0.001205446	C2	L1	FS	17	0
0.5	0.226415094	0.011116174	C2	L1	FS	17	0
2.5	2.037735849	0.005514069	C2	L1	FS	18	0.744444444
4.5	3.849056604	0.070545505	C2	L1	FS	22	1.907407407
6.5	5.660377358	0.07519095	C2	L1	FS	26	2.533333333
8.5	7.471698113	0.076283184	C2	L1	FS	28	2.559259259
10.5	9.283018868	0.049741923	C2	L1	FS	29	1.385185185
12.5	11.09433962	0.092038119	C2	L1	FS	29	0.496296296
14.5	13.11627907	0.016698423	C2	L1	FS	26	0
16.5	15.34883721	0.050899631	C2	L1	FS	23	0
18.5	17.58139535	0.040704572	C2	L1	FS	21	0
20.5	19.81395349	0.01520406	C2	L1	FS	19	0
22.5	22.04651163	0.00706183	C2	L1	FS	18	0
24.5	24.22641509	0.01206613	C2	L1	FS	18	0
-1.5	-1.953488372	0.024079213	C2	L1	FS	17	0
0.5	0.226415094	0.0065106	C2	L1	FS	17	0
2.5	2.037735849	0.024984844	C2	L1	FS	18	0.744444444
4.5	3.849056604	0.031427989	C2	L1	FS	22	1.907407407
6.5	5.660377358	0.138725918	C2	L1	FS	26	2.533333333
8.5	7.471698113	0.07589301	C2	L1	FS	28	2.559259259
10.5	9.283018868	0.077937742	C2	L1	FS	29	1.385185185
12.5	11.09433962	0.126463304	C2	L1	FS	29	0.496296296
14.5	13.11627907	0.112942052	C2	L1	FS	26	0
16.5	15.34883721	0.084894043	C2	L1	FS	23	0
18.5	17.58139535	0.013826577	C2	L1	FS	21	0
20.5	19.81395349	0.039614247	C2	L1	FS	19	0
22.5	22.04651163	0.010852847	C2	L1	FS	18	0
24.5	24.22641509	0.007694659	C2	L1	FS	18	0
-1.5	-1.953488372	0.012770692	C2	L1	FS	17	0
0.5	0.226415094	0.010718797	C2	L1	FS	17	0
2.5	2.037735849	0.002967713	C2	L1	FS	18	0.744444444
4.5	3.849056604	0.011659861	C2	L1	FS	22	1.907407407
6.5	5.660377358	0.086582037	C2	L1	FS	26	2.533333333
8.5	7.471698113	0.019950167	C2	L1	FS	28	2.559259259
10.5	9.283018868	0.012672176	C2	L1	FS	29	1.385185185
12.5	11.09433962	0.05473487	C2	L1	FS	29	0.496296296
14.5	13.11627907	0.161133588	C2	L1	FS	26	0
16.5	15.34883721	0.098224742	C2	L1	FS	23	0
18.5	17.58139535	0.044224691	C2	L1	FS	21	0
20.5	19.81395349	0.003287583	C2	L1	FS	19	0
22.5	22.04651163	0.014182589	C2	L1	FS	18	0
24.5	24.22641509	0.017284978	C2	L1	FS	18	0
-1.5	-1.953488372	0	C2	L1	AS	17	0
0.5	0.226415094	0.001594837	C2	L1	AS	17	0
2.5	2.037735849	0.002341169	C2	L1	AS	18	0.744444444
4.5	3.849056604	0.014859957	C2	L1	AS	22	1.907407407
6.5	5.660377358	0.020865179	C2	L1	AS	26	2.533333333
8.5	7.471698113	0.022601309	C2	L1	AS	28	2.559259259
10.5	9.283018868	0.017566218	C2	L1	AS	29	1.385185185
12.5	11.09433962	0.024306102	C2	L1	AS	29	0.496296296
14.5	13.11627907	0.003265629	C2	L1	AS	26	0
16.5	15.34883721	0.003290701	C2	L1	AS	23	0
18.5	17.58139535	0.002638413	C2	L1	AS	21	0
20.5	19.81395349	0.001356715	C2	L1	AS	19	0
22.5	22.04651163	0	C2	L1	AS	18	0
24.5	24.22641509	0.001748188	C2	L1	AS	18	0
-1.5	-1.953488372	0	C2	L1	AS	17	0
0.5	0.226415094	0	C2	L1	AS	17	0
2.5	2.037735849	0	C2	L1	AS	18	0.744444444
4.5	3.849056604	0.00690725	C2	L1	AS	22	1.907407407
6.5	5.660377358	0.035373224	C2	L1	AS	26	2.533333333
8.5	7.471698113	0.026056828	C2	L1	AS	28	2.559259259
10.5	9.283018868	0.022707513	C2	L1	AS	29	1.385185185
12.5	11.09433962	0.028775918	C2	L1	AS	29	0.496296296
14.5	13.11627907	0.019115908	C2	L1	AS	26	0
16.5	15.34883721	0.006274558	C2	L1	AS	23	0
18.5	17.58139535	0	C2	L1	AS	21	0
20.5	19.81395349	0	C2	L1	AS	19	0
22.5	22.04651163	0	C2	L1	AS	18	0
24.5	24.22641509	0	C2	L1	AS	18	0
-1.5	-1.953488372	0.00279681	C2	L1	AS	17	0
0.5	0.226415094	0.005132272	C2	L1	AS	17	0
2.5	2.037735849	0	C2	L1	AS	18	0.744444444
4.5	3.849056604	0.00307928	C2	L1	AS	22	1.907407407
6.5	5.660377358	0.023756281	C2	L1	AS	26	2.533333333
8.5	7.471698113	0.006450724	C2	L1	AS	28	2.559259259
10.5	9.283018868	0.004780807	C2	L1	AS	29	1.385185185
12.5	11.09433962	0.015112318	C2	L1	AS	29	0.496296296
14.5	13.11627907	0.024552141	C2	L1	AS	26	0
16.5	15.34883721	0.004730913	C2	L1	AS	23	0
18.5	17.58139535	0.002579303	C2	L1	AS	21	0
20.5	19.81395349	0.001678037	C2	L1	AS	19	0
22.5	22.04651163	0.001543927	C2	L1	AS	18	0
24.5	24.22641509	0.002014119	C2	L1	AS	18	0
