ZT	CT	PRR73.3	Campo	Organ	Splice	Temperature	Light
-1.5	-1.44	0.033415817	C1	L1	FS	10	0
0.5	0.52173913	0.016190585	C1	L1	FS	10	0.073333333
2.5	2.608695652	0.024315832	C1	L1	FS	19	1.166666667
4.5	4.695652174		C1	L1	FS	24	2.313333333
6.5	6.782608696	1.655962127	C1	L1	FS	26	2.786666667
8.5	8.869565217	0.067230931	C1	L1	FS	27	2.206666667
10.5	10.95652174	1.7840707	C1	L1	FS	26	0.866666667
12.5	12.96	1.857332204	C1	L1	FS	21	0
14.5	14.88	0.059793993	C1	L1	FS	18	0
16.5	16.8	0.883685754	C1	L1	FS	14	0
18.5	18.72	0.06668376	C1	L1	FS	14	0
20.5	20.64	0.033313642	C1	L1	FS	13	0
22.5	22.56	0.037622679	C1	L1	FS	12	0
24.5	24.52173913	0.658835042	C1	L1	FS	12	0.073333333
-1.5	-1.44	1.046507726	C1	L1	FS	10	0
0.5	0.52173913	0.353573877	C1	L1	FS	10	0.073333333
2.5	2.608695652	0.772272821	C1	L1	FS	19	1.166666667
4.5	4.695652174	0.814040727	C1	L1	FS	24	2.313333333
6.5	6.782608696	0.406246816	C1	L1	FS	26	2.786666667
8.5	8.869565217	0.802736693	C1	L1	FS	27	2.206666667
10.5	10.95652174	0.665196162	C1	L1	FS	26	0.866666667
12.5	12.96	1.040608235	C1	L1	FS	21	0
14.5	14.88	0.778978512	C1	L1	FS	18	0
16.5	16.8	0.966882021	C1	L1	FS	14	0
18.5	18.72	0.841125628	C1	L1	FS	14	0
20.5	20.64	0.720049185	C1	L1	FS	13	0
22.5	22.56	0.391234295	C1	L1	FS	12	0
24.5	24.52173913	0.255207635	C1	L1	FS	12	0.073333333
-1.5	-1.44	0.073011631	C1	L1	FS	10	0
0.5	0.52173913	0.254089882	C1	L1	FS	10	0.073333333
2.5	2.608695652	0.6055267	C1	L1	FS	19	1.166666667
4.5	4.695652174	0.592208189	C1	L1	FS	24	2.313333333
6.5	6.782608696	1.211874403	C1	L1	FS	26	2.786666667
8.5	8.869565217	0.397992166	C1	L1	FS	27	2.206666667
10.5	10.95652174	0.548274605	C1	L1	FS	26	0.866666667
12.5	12.96	1.396799707	C1	L1	FS	21	0
14.5	14.88	0.189979583	C1	L1	FS	18	0
16.5	16.8	0.149244119	C1	L1	FS	14	0
18.5	18.72	0.105757534	C1	L1	FS	14	0
20.5	20.64	0.077103271	C1	L1	FS	13	0
22.5	22.56	0.123217755	C1	L1	FS	12	0
24.5	24.52173913	0.679697942	C1	L1	FS	12	0.073333333
-1.5	-1.44	0.021997079	C1	L1	AS	10	0
0.5	0.52173913	0.003675272	C1	L1	AS	10	0.073333333
2.5	2.608695652	0.012404175	C1	L1	AS	19	1.166666667
4.5	4.695652174		C1	L1	AS	24	2.313333333
6.5	6.782608696	0.459518458	C1	L1	AS	26	2.786666667
8.5	8.869565217	0.051599557	C1	L1	AS	27	2.206666667
10.5	10.95652174	0.395436133	C1	L1	AS	26	0.866666667
12.5	12.96	0.245549295	C1	L1	AS	21	0
14.5	14.88	0.006861133	C1	L1	AS	18	0
16.5	16.8	0.029364749	C1	L1	AS	14	0
18.5	18.72	0.004121223	C1	L1	AS	14	0
20.5	20.64	0.010090935	C1	L1	AS	13	0
22.5	22.56	0.007157166	C1	L1	AS	12	0
24.5	24.52173913	0.036520912	C1	L1	AS	12	0.073333333
-1.5	-1.44	0.089983975	C1	L1	AS	10	0
0.5	0.52173913	0.059806598	C1	L1	AS	10	0.073333333
2.5	2.608695652	0	C1	L1	AS	19	1.166666667
4.5	4.695652174	0.214812928	C1	L1	AS	24	2.313333333
6.5	6.782608696	0.051006275	C1	L1	AS	26	2.786666667
8.5	8.869565217	0.282360914	C1	L1	AS	27	2.206666667
10.5	10.95652174	0.117716428	C1	L1	AS	26	0.866666667
12.5	12.96	0.087913479	C1	L1	AS	21	0
14.5	14.88	0.022222222	C1	L1	AS	18	0
16.5	16.8	0.04166806	C1	L1	AS	14	0
18.5	18.72	0.038552786	C1	L1	AS	14	0
20.5	20.64	0.083224151	C1	L1	AS	13	0
22.5	22.56	0.026094237	C1	L1	AS	12	0
24.5	24.52173913	0.014012814	C1	L1	AS	12	0.073333333
-1.5	-1.44	0.007751604	C1	L1	AS	10	0
0.5	0.52173913	0.044730109	C1	L1	AS	10	0.073333333
2.5	2.608695652	0.108539588	C1	L1	AS	19	1.166666667
4.5	4.695652174	0.123582544	C1	L1	AS	24	2.313333333
6.5	6.782608696	0.324132837	C1	L1	AS	26	2.786666667
8.5	8.869565217	0.137538774	C1	L1	AS	27	2.206666667
10.5	10.95652174	0.105911246	C1	L1	AS	26	0.866666667
12.5	12.96	0.149525147	C1	L1	AS	21	0
14.5	14.88	0.010957536	C1	L1	AS	18	0
16.5	16.8	0.007313213	C1	L1	AS	14	0
18.5	18.72	0	C1	L1	AS	14	0
20.5	20.64	0.018568776	C1	L1	AS	13	0
22.5	22.56	0.010833756	C1	L1	AS	12	0
24.5	24.52173913	0.039227479	C1	L1	AS	12	0.073333333
