ZT	CT	LHY.4	Campo	Organ	Splice	Temperature	Light
-1.5	-1.953488372	0.01763986	C2	L1	FS	17	0
0.5	0.226415094	0.077540729	C2	L1	FS	17	0
2.5	2.037735849	0.109587654	C2	L1	FS	18	0.744444444
4.5	3.849056604	0.24568941	C2	L1	FS	22	1.907407407
6.5	5.660377358	1.136958097	C2	L1	FS	26	2.533333333
8.5	7.471698113	0.075556144	C2	L1	FS	28	2.559259259
10.5	9.283018868	0.024226082	C2	L1	FS	29	1.385185185
12.5	11.09433962	0.011015255	C2	L1	FS	29	0.496296296
14.5	13.11627907	0.011755913	C2	L1	FS	26	0
16.5	15.34883721	0.00913285	C2	L1	FS	23	0
18.5	17.58139535	0.027676433	C2	L1	FS	21	0
20.5	19.81395349	0.027889965	C2	L1	FS	19	0
22.5	22.04651163	0.47404138	C2	L1	FS	18	0
24.5	24.22641509	0.437398676	C2	L1	FS	18	0
-1.5	-1.953488372	0.001118747	C2	L1	FS	17	0
0.5	0.226415094	0.005623058	C2	L1	FS	17	0
2.5	2.037735849	0.007838124	C2	L1	FS	18	0.744444444
4.5	3.849056604	0.024358457	C2	L1	FS	22	1.907407407
6.5	5.660377358	0.070745656	C2	L1	FS	26	2.533333333
8.5	7.471698113	0.003931068	C2	L1	FS	28	2.559259259
10.5	9.283018868	0.001372338	C2	L1	FS	29	1.385185185
12.5	11.09433962	0	C2	L1	FS	29	0.496296296
14.5	13.11627907	0	C2	L1	FS	26	0
16.5	15.34883721	0	C2	L1	FS	23	0
18.5	17.58139535	0.001967369	C2	L1	FS	21	0
20.5	19.81395349	0	C2	L1	FS	19	0
22.5	22.04651163	0.031592112	C2	L1	FS	18	0
24.5	24.22641509	0.032803139	C2	L1	FS	18	0
-1.5	-1.953488372	0.004356612	C2	L1	FS	17	0
0.5	0.226415094	0.01703068	C2	L1	FS	17	0
2.5	2.037735849	0.029662296	C2	L1	FS	18	0.744444444
4.5	3.849056604	0.03845376	C2	L1	FS	22	1.907407407
6.5	5.660377358	0.12360709	C2	L1	FS	26	2.533333333
8.5	7.471698113	0.007858148	C2	L1	FS	28	2.559259259
10.5	9.283018868	0.00217605	C2	L1	FS	29	1.385185185
12.5	11.09433962	0	C2	L1	FS	29	0.496296296
14.5	13.11627907	0	C2	L1	FS	26	0
16.5	15.34883721	0	C2	L1	FS	23	0
18.5	17.58139535	0.00642365	C2	L1	FS	21	0
20.5	19.81395349	0.007291964	C2	L1	FS	19	0
22.5	22.04651163	0.1150389	C2	L1	FS	18	0
24.5	24.22641509	0.101796401	C2	L1	FS	18	0
-1.5	-1.953488372	0.015545752	C2	L1	AS	17	0
0.5	0.226415094	0.06513959	C2	L1	AS	17	0
2.5	2.037735849	0.055071228	C2	L1	AS	18	0.744444444
4.5	3.849056604	0.034518034	C2	L1	AS	22	1.907407407
6.5	5.660377358	0.02315029	C2	L1	AS	26	2.533333333
8.5	7.471698113	0	C2	L1	AS	28	2.559259259
10.5	9.283018868	0.000642891	C2	L1	AS	29	1.385185185
12.5	11.09433962	0.000446083	C2	L1	AS	29	0.496296296
14.5	13.11627907	0.00088112	C2	L1	AS	26	0
16.5	15.34883721	0.000660973	C2	L1	AS	23	0
18.5	17.58139535	0.011316038	C2	L1	AS	21	0
20.5	19.81395349	0.015649217	C2	L1	AS	19	0
22.5	22.04651163	0.321961238	C2	L1	AS	18	0
24.5	24.22641509	0.264565304	C2	L1	AS	18	0
-1.5	-1.953488372	0.001518895	C2	L1	AS	17	0
0.5	0.226415094	0.00699116	C2	L1	AS	17	0
2.5	2.037735849	0.005854634	C2	L1	AS	18	0.744444444
4.5	3.849056604	0.003170279	C2	L1	AS	22	1.907407407
6.5	5.660377358	0.002497625	C2	L1	AS	26	2.533333333
8.5	7.471698113	0	C2	L1	AS	28	2.559259259
10.5	9.283018868	0	C2	L1	AS	29	1.385185185
12.5	11.09433962	0	C2	L1	AS	29	0.496296296
14.5	13.11627907	0	C2	L1	AS	26	0
16.5	15.34883721	0	C2	L1	AS	23	0
18.5	17.58139535	0	C2	L1	AS	21	0
20.5	19.81395349	0	C2	L1	AS	19	0
22.5	22.04651163	0.028632133	C2	L1	AS	18	0
24.5	24.22641509	0.026143288	C2	L1	AS	18	0
-1.5	-1.953488372	0.003661355	C2	L1	AS	17	0
0.5	0.226415094	0.012704626	C2	L1	AS	17	0
2.5	2.037735849	0.004213419	C2	L1	AS	18	0.744444444
4.5	3.849056604	0.004776761	C2	L1	AS	22	1.907407407
6.5	5.660377358	0.00130105	C2	L1	AS	26	2.533333333
8.5	7.471698113	0	C2	L1	AS	28	2.559259259
10.5	9.283018868	0	C2	L1	AS	29	1.385185185
12.5	11.09433962	0	C2	L1	AS	29	0.496296296
14.5	13.11627907	0	C2	L1	AS	26	0
16.5	15.34883721	0	C2	L1	AS	23	0
18.5	17.58139535	0.00242861	C2	L1	AS	21	0
20.5	19.81395349	0.000684912	C2	L1	AS	19	0
22.5	22.04651163	0.078035592	C2	L1	AS	18	0
24.5	24.22641509	0.032028141	C2	L1	AS	18	0
