ZT	CT	LHY.1	Campo	Organ	Splice	Temperature	Light
-1.5	-1.953488372	0.028510549	C2	L1	FS	10	0
0.5	0.226415094	0.185965433	C2	L1	FS	10	0.073333333
2.5	2.037735849	0.265440291	C2	L1	FS	19	1.166666667
4.5	3.849056604	0.76072734	C2	L1	FS	24	2.313333333
6.5	5.660377358	0.324666348	C2	L1	FS	26	2.786666667
8.5	7.471698113	0.050674726	C2	L1	FS	27	2.206666667
10.5	9.283018868	0.005140296	C2	L1	FS	26	0.866666667
12.5	11.09433962	0.003523899	C2	L1	FS	21	0
14.5	13.11627907	0.004751876	C2	L1	FS	18	0
16.5	15.34883721	0.004796774	C2	L1	FS	14	0
18.5	17.58139535	0.005647421	C2	L1	FS	14	0
20.5	19.81395349	0.009575658	C2	L1	FS	13	0
22.5	22.04651163	0.058541726	C2	L1	FS	12	0
24.5	24.22641509	0.213730281	C2	L1	FS	12	0.073333333
-1.5	-1.953488372	0.029870536	C2	L1	FS	10	0
0.5	0.226415094	0.015752133	C2	L1	FS	10	0.073333333
2.5	2.037735849	0.179255756	C2	L1	FS	19	1.166666667
4.5	3.849056604	0.067221134	C2	L1	FS	24	2.313333333
6.5	5.660377358	0.091133922	C2	L1	FS	26	2.786666667
8.5	7.471698113	0.003573182	C2	L1	FS	27	2.206666667
10.5	9.283018868	0	C2	L1	FS	26	0.866666667
12.5	11.09433962	0	C2	L1	FS	21	0
14.5	13.11627907	0.003550867	C2	L1	FS	18	0
16.5	15.34883721	0.006145821	C2	L1	FS	14	0
18.5	17.58139535	0.00795108	C2	L1	FS	14	0
20.5	19.81395349	0.020334978	C2	L1	FS	13	0
22.5	22.04651163	0.090276246	C2	L1	FS	12	0
24.5	24.22641509	0.578203775	C2	L1	FS	12	0.073333333
-1.5	-1.953488372	0.065226099	C2	L1	FS	10	0
0.5	0.226415094	0.176393942	C2	L1	FS	10	0.073333333
2.5	2.037735849	0.133058019	C2	L1	FS	19	1.166666667
4.5	3.849056604	0.287599559	C2	L1	FS	24	2.313333333
6.5	5.660377358	0.594748791	C2	L1	FS	26	2.786666667
8.5	7.471698113	0.017155278	C2	L1	FS	27	2.206666667
10.5	9.283018868	0.002264593	C2	L1	FS	26	0.866666667
12.5	11.09433962	0.002575759	C2	L1	FS	21	0
14.5	13.11627907	0.002639809	C2	L1	FS	18	0
16.5	15.34883721	0.006093706	C2	L1	FS	14	0
18.5	17.58139535	0.006372949	C2	L1	FS	14	0
20.5	19.81395349	0.009945916	C2	L1	FS	13	0
22.5	22.04651163	0.144299766	C2	L1	FS	12	0
24.5	24.22641509	0.60431435	C2	L1	FS	12	0.073333333
-1.5	-1.953488372	0.027660234	C2	L1	AS	10	0
0.5	0.226415094	0.169487215	C2	L1	AS	10	0.073333333
2.5	2.037735849	0.107991549	C2	L1	AS	19	1.166666667
4.5	3.849056604	0.037414728	C2	L1	AS	24	2.313333333
6.5	5.660377358	0.003096827	C2	L1	AS	26	2.786666667
8.5	7.471698113	0	C2	L1	AS	27	2.206666667
10.5	9.283018868	0	C2	L1	AS	26	0.866666667
12.5	11.09433962	0	C2	L1	AS	21	0
14.5	13.11627907	0	C2	L1	AS	18	0
16.5	15.34883721	0	C2	L1	AS	14	0
18.5	17.58139535	0	C2	L1	AS	14	0
20.5	19.81395349	0.0060364	C2	L1	AS	13	0
22.5	22.04651163	0.035769443	C2	L1	AS	12	0
24.5	24.22641509	0.104491858	C2	L1	AS	12	0.073333333
-1.5	-1.953488372	0.023643561	C2	L1	AS	10	0
0.5	0.226415094	0.010691461	C2	L1	AS	10	0.073333333
2.5	2.037735849	0.04850524	C2	L1	AS	19	1.166666667
4.5	3.849056604	0.003000691	C2	L1	AS	24	2.313333333
6.5	5.660377358	0	C2	L1	AS	26	2.786666667
8.5	7.471698113	0	C2	L1	AS	27	2.206666667
10.5	9.283018868	0	C2	L1	AS	26	0.866666667
12.5	11.09433962	0	C2	L1	AS	21	0
14.5	13.11627907	0	C2	L1	AS	18	0
16.5	15.34883721	0	C2	L1	AS	14	0
18.5	17.58139535	0	C2	L1	AS	14	0
20.5	19.81395349	0.008035123	C2	L1	AS	13	0
22.5	22.04651163	0.035653873	C2	L1	AS	12	0
24.5	24.22641509	0.233634083	C2	L1	AS	12	0.073333333
-1.5	-1.953488372	0.045367345	C2	L1	AS	10	0
0.5	0.226415094	0.114595495	C2	L1	AS	10	0.073333333
2.5	2.037735849	0.03731376	C2	L1	AS	19	1.166666667
4.5	3.849056604	0.010774892	C2	L1	AS	24	2.313333333
6.5	5.660377358	0.003749649	C2	L1	AS	26	2.786666667
8.5	7.471698113	0	C2	L1	AS	27	2.206666667
10.5	9.283018868	0	C2	L1	AS	26	0.866666667
12.5	11.09433962	0	C2	L1	AS	21	0
14.5	13.11627907	0	C2	L1	AS	18	0
16.5	15.34883721	0	C2	L1	AS	14	0
18.5	17.58139535	0	C2	L1	AS	14	0
20.5	19.81395349	0.004407905	C2	L1	AS	13	0
22.5	22.04651163	0.072313252	C2	L1	AS	12	0
24.5	24.22641509	0.250056016	C2	L1	AS	12	0.073333333
