ZT	PRR37_ratio	AS
24.52173913	-1.752797127	I7R
22.56	-1.727242919	I7R
24.52173913	-1.686767312	I7R
14.88	-1.635630301	I7R
22.56	-1.50965048	I7R
12.96	-1.32737841	I7R
8.869565217	-1.122471716	I7R
12.96	-1.04690706	I7R
10.95652174	-1.039269931	I7R
10.95652174	-1.037497641	I7R
10.95652174	-1.020811616	I7R
8.869565217	-1.010846968	I7R
12.96	-0.940642731	I7R
0.52173913	-0.914654135	I7R
6.782608696	-0.910606746	I7R
6.782608696	-0.845353473	I7R
20.64	-0.840339232	I7R
-1.44	-0.806082791	I7R
0.52173913	-0.795419828	I7R
4.695652174	-0.773033388	I7R
4.695652174	-0.740029498	I7R
20.64	-0.661368518	I7R
6.782608696	-0.532752955	I7R
4.695652174	-0.497440884	I7R
2.608695652	-0.374976982	I7R
2.608695652	-0.217792694	I7R
8.869565217	0.065392962	I7R
17.58139535	-2.018036978	I7R
17.58139535	-1.767570197	I7R
15.34883721	-1.672232732	I7R
-1.953488372	-1.662190636	I7R
15.34883721	-1.593087266	I7R
15.34883721	-1.530464529	I7R
-1.953488372	-1.509909204	I7R
0.226415094	-1.282017315	I7R
22.04651163	-1.251067606	I7R
11.09433962	-1.245832613	I7R
9.283018868	-1.234383557	I7R
13.11627907	-1.166049455	I7R
2.037735849	-1.162100459	I7R
22.04651163	-1.160975204	I7R
7.471698113	-1.139410586	I7R
24.22641509	-1.112706116	I7R
9.283018868	-1.06942487	I7R
11.09433962	-1.063978928	I7R
13.11627907	-1.025412123	I7R
11.09433962	-1.01691613	I7R
7.471698113	-0.990699928	I7R
9.283018868	-0.959356324	I7R
13.11627907	-0.950145017	I7R
24.22641509	-0.919849263	I7R
7.471698113	-0.901255373	I7R
5.660377358	-0.89520733	I7R
5.660377358	-0.793900598	I7R
3.849056604	-0.781731604	I7R
5.660377358	-0.772818644	I7R
3.849056604	-0.646402799	I7R
2.037735849	-0.495748253	I7R
3.849056604	-0.478932958	I7R
2.037735849	-0.430942004	I7R
-1.953488372	-2.178029342	I7R
3.849056604	-1.946875768	I7R
17.58139535	-1.800139069	I7R
9.283018868	-1.578390031	I7R
5.660377358	-1.55368476	I7R
2.037735849	-1.546310493	I7R
2.037735849	-1.36075635	I7R
22.04651163	-1.357143455	I7R
17.58139535	-1.35279139	I7R
11.09433962	-1.350947582	I7R
7.471698113	-1.290034611	I7R
15.34883721	-1.267547774	I7R
0.226415094	-1.264925709	I7R
13.11627907	-1.218010043	I7R
13.11627907	-1.15097245	I7R
22.04651163	-1.149318459	I7R
24.22641509	-1.139836364	I7R
-1.953488372	-1.138103891	I7R
24.22641509	-1.111831461	I7R
22.04651163	-1.103187023	I7R
19.81395349	-1.082948075	I7R
0.226415094	-1.071836527	I7R
0.226415094	-1.049516199	I7R
13.11627907	-0.999040939	I7R
-1.953488372	-0.937998592	I7R
7.471698113	-0.929492968	I7R
17.58139535	-0.929028881	I7R
5.660377358	-0.922912159	I7R
15.34883721	-0.872707358	I7R
11.09433962	-0.857902704	I7R
11.09433962	-0.843768641	I7R
15.34883721	-0.843736081	I7R
7.471698113	-0.838914226	I7R
3.849056604	-0.838155208	I7R
9.283018868	-0.802471203	I7R
17.58139535	-1.649379674	I7R
19.81395349	-1.396468836	I7R
15.34883721	-1.393916721	I7R
15.34883721	-1.357603451	I7R
24.22641509	-1.353788045	I7R
5.660377358	-1.33127366	I7R
22.04651163	-1.321579742	I7R
15.34883721	-1.302976193	I7R
13.11627907	-1.292642012	I7R
17.58139535	-1.269915623	I7R
2.037735849	-1.225462548	I7R
0.226415094	-1.173198489	I7R
0.226415094	-1.15396043	I7R
7.471698113	-1.128033667	I7R
-1.953488372	-1.124805701	I7R
3.849056604	-1.119543041	I7R
13.11627907	-1.105948435	I7R
7.471698113	-1.103648545	I7R
2.037735849	-1.086223082	I7R
11.09433962	-1.025049112	I7R
3.849056604	-1.016921327	I7R
-1.953488372	-1.004659054	I7R
9.283018868	-0.956201127	I7R
13.11627907	-0.954011563	I7R
11.09433962	-0.953915095	I7R
7.471698113	-0.943669415	I7R
11.09433962	-0.934532456	I7R
9.283018868	-0.862101736	I7R
5.660377358	-0.833114	I7R
9.283018868	-0.754987997	I7R
5.660377358	-0.725524933	I7R
16.8	-1.591741401	I3R
14.88	-1.466687582	I3R
22.56	-1.337615773	I3R
12.96	-1.294743475	I3R
10.95652174	-1.233517967	I3R
10.95652174	-1.213216855	I3R
8.869565217	-1.196334315	I3R
6.782608696	-1.152940332	I3R
8.869565217	-1.100565129	I3R
12.96	-1.098647217	I3R
10.95652174	-1.088432373	I3R
4.695652174	-1.061675135	I3R
12.96	-1.051165138	I3R
4.695652174	-1.050329654	I3R
0.52173913	-1.015532353	I3R
4.695652174	-0.993981966	I3R
-1.44	-0.978597061	I3R
6.782608696	-0.903958074	I3R
2.608695652	-0.841889392	I3R
6.782608696	-0.759240538	I3R
17.58139535	-1.546722371	I3R
15.34883721	-1.335858096	I3R
9.283018868	-1.294693244	I3R
15.34883721	-1.284289543	I3R
15.34883721	-1.267309502	I3R
7.471698113	-1.230636616	I3R
7.471698113	-1.222289025	I3R
11.09433962	-1.192049464	I3R
-1.953488372	-1.184259012	I3R
11.09433962	-1.178016782	I3R
7.471698113	-1.161483519	I3R
13.11627907	-1.15897677	I3R
9.283018868	-1.138486833	I3R
11.09433962	-1.136981155	I3R
13.11627907	-1.097007232	I3R
13.11627907	-1.092469584	I3R
5.660377358	-1.037326238	I3R
3.849056604	-1.012507456	I3R
0.226415094	-1.00768497	I3R
3.849056604	-0.97164888	I3R
2.037735849	-0.773628181	I3R
13.11627907	-1.455842631	I3R
17.58139535	-1.120738564	I3R
-1.953488372	-1.076058417	I3R
19.81395349	-1.073430845	I3R
3.849056604	-1.060232373	I3R
0.226415094	-1.028720606	I3R
22.04651163	-1.000427666	I3R
2.037735849	-0.987454024	I3R
22.04651163	-0.977631982	I3R
2.037735849	-0.965066027	I3R
3.849056604	-0.907278915	I3R
24.22641509	-0.906614344	I3R
17.58139535	-0.890689554	I3R
5.660377358	-0.822992156	I3R
11.09433962	-0.775061782	I3R
-1.953488372	-0.773645782	I3R
9.283018868	-0.74451403	I3R
11.09433962	-0.736553845	I3R
7.471698113	-0.706405902	I3R
3.849056604	-0.683687755	I3R
7.471698113	-0.608759798	I3R
7.471698113	-0.535675619	I3R
2.037735849	-1.291472198	I3R
15.34883721	-1.268538187	I3R
15.34883721	-1.2684545	I3R
22.04651163	-1.264622231	I3R
19.81395349	-1.253730752	I3R
0.226415094	-1.25297216	I3R
11.09433962	-1.20303331	I3R
17.58139535	-1.177030485	I3R
17.58139535	-1.166738968	I3R
11.09433962	-1.096954289	I3R
13.11627907	-1.058696807	I3R
7.471698113	-1.043957853	I3R
15.34883721	-1.039634406	I3R
7.471698113	-1.038387002	I3R
3.849056604	-1.030769713	I3R
11.09433962	-0.995437229	I3R
9.283018868	-0.986847613	I3R
13.11627907	-0.948714598	I3R
5.660377358	-0.936965355	I3R
3.849056604	-0.935365105	I3R
3.849056604	-0.934970343	I3R
9.283018868	-0.908247018	I3R
5.660377358	-0.903581561	I3R
7.471698113	-0.892995761	I3R
-1.953488372	-0.880158443	I3R
9.283018868	-0.869091498	I3R
13.11627907	-0.85122901	I3R
-1.953488372	-0.694819718	I3R
