ZT	PRR73_ratio	AS
16.8	-1.815896724	I2R
16.8	-1.29086943	I2R
14.88	-1.251032546	I2R
16.8	-1.205711977	I2R
18.72	-1.169321013	I2R
14.88	-1.11986396	I2R
18.72	-1.073389322	I2R
24.52173913	-1.070211457	I2R
24.52173913	-1.067273682	I2R
24.52173913	-1.023402503	I2R
22.56	-1.011813647	I2R
22.56	-0.982636353	I2R
22.56	-0.962403988	I2R
12.96	-0.899901965	I2R
20.64	-0.864013251	I2R
12.96	-0.811280441	I2R
10.95652174	-0.774176557	I2R
10.95652174	-0.762499436	I2R
8.869565217	-0.733478528	I2R
6.782608696	-0.715036307	I2R
8.869565217	-0.708614949	I2R
12.96	-0.694322584	I2R
6.782608696	-0.665995477	I2R
4.695652174	-0.607316999	I2R
10.95652174	-0.587833433	I2R
6.782608696	-0.541426293	I2R
2.608695652	-0.386820007	I2R
17.58139535	-1.009793261	I2R
15.34883721	-0.965101272	I2R
19.81395349	-0.957987819	I2R
0.226415094	-0.894334026	I2R
24.22641509	-0.851539785	I2R
-1.953488372	-0.84117336	I2R
22.04651163	-0.794588836	I2R
11.09433962	-0.572246285	I2R
7.471698113	-0.528940335	I2R
9.283018868	-0.520445273	I2R
5.660377358	-0.510406723	I2R
2.037735849	-0.433362288	I2R
13.11627907	-0.424991172	I2R
3.849056604	-0.284049203	I2R
14.88	-1.544737992	I6R
16.8	-1.478471557	I6R
16.8	-1.365570207	I6R
18.72	-1.338805093	I6R
16.8	-1.309789011	I6R
24.52173913	-1.260368316	I6R
24.52173913	-1.256235073	I6R
14.88	-1.238994029	I6R
24.52173913	-1.238725553	I6R
18.72	-1.208993995	I6R
22.56	-1.175892307	I6R
12.96	-1.073231789	I6R
-1.44	-1.065577266	I6R
22.56	-1.055894226	I6R
-1.44	-0.974000481	I6R
12.96	-0.970419896	I6R
14.88	-0.940261733	I6R
20.64	-0.937112787	I6R
6.782608696	-0.901166363	I6R
12.96	-0.878750898	I6R
0.52173913	-0.771731069	I6R
0.52173913	-0.754387419	I6R
10.95652174	-0.75211266	I6R
2.608695652	-0.746545128	I6R
22.56	-0.720708609	I6R
10.95652174	-0.714056054	I6R
4.695652174	-0.680517277	I6R
10.95652174	-0.65433571	I6R
0.52173913	-0.643973101	I6R
20.64	-0.618289528	I6R
4.695652174	-0.57858572	I6R
6.782608696	-0.572734582	I6R
6.782608696	-0.556747439	I6R
20.64	-0.518690724	I6R
8.869565217	-0.461449375	I6R
8.869565217	-0.453768537	I6R
2.608695652	-0.292321237	I6R
-1.44	-0.181587075	I6R
8.869565217	-0.114923149	I6R
15.34883721	-1.317275922	I6R
17.58139535	-1.23416245	I6R
15.34883721	-1.189426268	I6R
17.58139535	-1.188300424	I6R
15.34883721	-1.131294074	I6R
19.81395349	-1.049470838	I6R
22.04651163	-0.96312864	I6R
24.22641509	-0.933583808	I6R
0.226415094	-0.843238988	I6R
24.22641509	-0.83897981	I6R
13.11627907	-0.817096707	I6R
13.11627907	-0.771460752	I6R
13.11627907	-0.708708563	I6R
3.849056604	-0.676451805	I6R
-1.953488372	-0.65955152	I6R
3.849056604	-0.658011397	I6R
11.09433962	-0.642935342	I6R
5.660377358	-0.593482968	I6R
11.09433962	-0.578252415	I6R
3.849056604	-0.578244226	I6R
5.660377358	-0.561649342	I6R
11.09433962	-0.558933011	I6R
5.660377358	-0.556743458	I6R
9.283018868	-0.535578249	I6R
7.471698113	-0.528295214	I6R
7.471698113	-0.490338099	I6R
7.471698113	-0.464280225	I6R
9.283018868	-0.452044292	I6R
9.283018868	-0.423349962	I6R
2.037735849	-0.372039439	I6R
0.226415094	-0.319836417	I6R
19.81395349	-0.292075153	I6R
