ZT	PRR95_ratio	AS
-1.44	0.333492391	I7R
12.96	-2.13056517	I7R
6.782608696	-1.713555915	I7R
8.869565217	-1.577980046	I7R
4.695652174	-1.564071458	I7R
6.782608696	-1.56083753	I7R
2.608695652	-1.531111317	I7R
2.608695652	-1.512060733	I7R
8.869565217	-1.483701382	I7R
4.695652174	-1.421921432	I7R
6.782608696	-1.392674504	I7R
10.95652174	-1.373637811	I7R
24.52173913	-1.111037888	I7R
8.869565217	-1.108418091	I7R
12.96	-1.086320494	I7R
2.608695652	-0.98458705	I7R
0.52173913	-0.979930017	I7R
22.56	-0.609156968	I7R
14.88	-0.347269768	I7R
16.8	-0.284483443	I7R
14.88	-0.144224624	I7R
9.283018868	-1.744494813	I7R
11.09433962	-1.702257708	I7R
11.09433962	-1.689993985	I7R
5.660377358	-1.660651205	I7R
5.660377358	-1.595541719	I7R
3.849056604	-1.543777692	I7R
7.471698113	-1.539006435	I7R
9.283018868	-1.519262697	I7R
3.849056604	-1.482732027	I7R
7.471698113	-1.462932514	I7R
5.660377358	-1.44304082	I7R
9.283018868	-1.346288829	I7R
8.869565217	-1.930981878	I3R
4.695652174	-1.810712586	I3R
10.95652174	-1.756717095	I3R
6.782608696	-1.634165937	I3R
10.95652174	-1.553440338	I3R
6.782608696	-1.464330973	I3R
4.695652174	-1.448572132	I3R
10.95652174	-1.448515376	I3R
6.782608696	-1.382791426	I3R
2.608695652	-1.324508822	I3R
8.869565217	-1.019234956	I3R
9.283018868	-2.768091646	I3R
5.660377358	-1.895809215	I3R
5.660377358	-1.889574279	I3R
11.09433962	-1.802924912	I3R
9.283018868	-1.725660758	I3R
9.283018868	-1.624131128	I3R
7.471698113	-1.623126083	I3R
7.471698113	-1.518013911	I3R
4.695652174	-2.519783177	Altss
10.95652174	-2.511439375	Altss
6.782608696	-2.383585426	Altss
8.869565217	-2.247847534	Altss
6.782608696	-2.236401697	Altss
6.782608696	-2.103334255	Altss
4.695652174	-1.998530057	Altss
10.95652174	-1.83316103	Altss
8.869565217	-1.733976102	Altss
9.283018868	-2.622429026	Altss
7.471698113	-2.610379588	Altss
13.11627907	-1.201647482	Altss
15.34883721	-1.08174419	Altss
17.58139535	-1.055658655	Altss
19.81395349	-0.921890159	Altss
