ZT	LHY_ratio	AS	Experiment
22.04651163	-0.16855199	I5R	C2L1
0.226415094	-0.168425485	I1R	C2I5
0.226415094	-0.168302308	I1R	C2L1
22.04651163	-0.168012665	I5R	C2L1
-1.953488372	-0.157678042	I1R	C2L1
22.04651163	-0.15436097	I5R	C2I5
22.04651163	-0.153375306	I5R	C2I5
-1.44	-0.146560331	I1R	C1L1
20.64	-0.141475732	I1R	C1L1
24.22641509	-0.139876736	I5R	C2I1
0.226415094	-0.127270097	I5R	C2L1
2.037735849	-0.126712404	I5R	C2L1
24.22641509	-0.123161254	I5R	C2I1
24.22641509	-0.115926648	I5R	C2I5
2.037735849	-0.11455458	I5R	C2I1
19.81395349	-0.106767652	I5R	C2I5
-1.953488372	-0.101530119	I1R	C2L1
24.22641509	-0.098555197	I5R	C2L1
0.226415094	-0.098293483	I5R	C2I5
20.64	-0.0879358	I1R	C1L1
18.72	-0.083955101	I1R	C1L1
22.04651163	-0.078508675	I5R	C2I1
0.226415094	-0.075684861	I5R	C2L1
-1.953488372	-0.075507074	I5R	C2L1
2.037735849	-0.06791966	I5R	C2I5
20.64	-0.060756033	I5R	C1L1
22.56	-0.056000261	I1R	C1L1
22.04651163	-0.055224958	I5R	C2I1
-1.953488372	-0.054883403	I5R	C2L1
22.04651163	-0.042724952	I5R	C2L1
0.226415094	-0.041617964	I5R	C2I1
0.226415094	-0.04142647	I5R	C2I1
0.226415094	-0.040295282	I1R	C2L1
0.52173913	-0.023997698	I5R	C1L1
-1.953488372	-0.013149724	I1R	C2L1
22.04651163	0.004045393	I5R	C2I5
-1.953488372	0.013401737	I5R	C2I5
22.56	0.033784824	I1R	C1L1
24.52173913	0.034467284	I1R	C1L1
20.64	0.051098613	I5R	C1L1
-1.953488372	0.051736045	I5R	C2I1
24.52173913	0.051854453	I1R	C1L1
-1.953488372	0.055824913	I5R	C2I5
-1.953488372	0.058035405	I5R	C2I1
24.22641509	0.071798312	I5R	C2I1
0.226415094	0.073824882	I5R	C2I5
0.226415094	0.094576706	I5R	C2L1
18.72	0.109648819	I5R	C1L1
24.52173913	0.113708089	I1R	C1L1
0.52173913	0.132060247	I5R	C1L1
-1.953488372	0.132795857	I5R	C2L1
22.56	0.139183107	I1R	C1L1
18.72	0.144609909	I5R	C1L1
0.226415094	0.17318998	I5R	C2I1
16.8	0.185918567	I5R	C1L1
22.04651163	0.198105042	I5R	C2I1
-1.953488372	0.210540895	I5R	C2I5
24.52173913	0.220325612	I5R	C1L1
22.56	0.253285779	I5R	C1L1
-1.44	0.256130996	I5R	C1L1
-1.953488372	0.266310153	I5R	C2I1
24.52173913	0.26704616	I5R	C1L1
22.56	0.276995049	I5R	C1L1
-1.44	0.290309886	I5R	C1L1
-1.44	0.298338715	I5R	C1L1
19.81395349	0.305192028	I5R	C2I5
24.52173913	0.341567494	I5R	C1L1
22.56	0.406485748	I5R	C1L1
18.72	1.148762729	I5R	C1L1
