ZT	CT	PRR37.1	Campo	Organ	Splice	Temperature	Light
12.5	11.09433962	0.006100342	C2	L1	AS2	29	0.496296296
14.5	13.11627907	0.005887092	C2	L1	AS2	26	0
16.5	15.34883721	0.008435111	C2	L1	AS2	23	0
18.5	17.58139535	0	C2	L1	AS2	21	0
20.5	19.81395349	0	C2	L1	AS2	19	0
22.5	22.04651163	0	C2	L1	AS2	18	0
24.5	24.22641509	0	C2	L1	AS2	18	0
-1.5	-1.953488372	0.005677945	C2	L1	AS2	17	0
0.5	0.226415094	0.006104534	C2	L1	AS2	17	0
2.5	2.037735849	0.004673102	C2	L1	AS2	18	0.744444444
4.5	3.849056604	0.018108235	C2	L1	AS2	22	1.907407407
6.5	5.660377358	0.125660015	C2	L1	AS2	26	2.533333333
8.5	7.471698113	0.019246143	C2	L1	AS2	28	2.559259259
10.5	9.283018868	0.006312228	C2	L1	AS2	29	1.385185185
12.5	11.09433962	0.004939873	C2	L1	AS2	29	0.496296296
14.5	13.11627907	0.005590466	C2	L1	AS2	26	0
16.5	15.34883721	0.016426062	C2	L1	AS2	23	0
18.5	17.58139535	0.008961666	C2	L1	AS2	21	0
20.5	19.81395349	0	C2	L1	AS2	19	0
22.5	22.04651163	0	C2	L1	AS2	18	0
24.5	24.22641509	0	C2	L1	AS2	18	0
