ZT	CT	PRR95.2	Campo	Organ	Splice	Temperature	Light
-1.5	-1.953488372	0	C2	L1	FS	17	0
0.5	0.226415094	0.005764727	C2	L1	FS	17	0
2.5	2.037735849	0.006089093	C2	L1	FS	18	0.744444444
4.5	3.849056604	0.532921236	C2	L1	FS	22	1.907407407
6.5	5.660377358	0.470301433	C2	L1	FS	26	2.533333333
8.5	7.471698113	0.902526206	C2	L1	FS	28	2.559259259
10.5	9.283018868	1.521723061	C2	L1	FS	29	1.385185185
12.5	11.09433962	0.570028802	C2	L1	FS	29	0.496296296
14.5	13.11627907	0.479198969	C2	L1	FS	26	0
16.5	15.34883721	0.333791293	C2	L1	FS	23	0
18.5	17.58139535	0.10663724	C2	L1	FS	21	0
20.5	19.81395349	0.044555319	C2	L1	FS	19	0
22.5	22.04651163	0	C2	L1	FS	18	0
24.5	24.22641509	0.008870629	C2	L1	FS	18	0
-1.5	-1.953488372	0.030225686	C2	L1	FS	17	0
0.5	0.226415094	0.003554436	C2	L1	FS	17	0
2.5	2.037735849	0.050767523	C2	L1	FS	18	0.744444444
4.5	3.849056604	0.337362563	C2	L1	FS	22	1.907407407
6.5	5.660377358	0.652648951	C2	L1	FS	26	2.533333333
8.5	7.471698113	1.422006461	C2	L1	FS	28	2.559259259
10.5	9.283018868	0.896895617	C2	L1	FS	29	1.385185185
12.5	11.09433962	0.35140043	C2	L1	FS	29	0.496296296
14.5	13.11627907	0	C2	L1	FS	26	0
16.5	15.34883721	0.003207245	C2	L1	FS	23	0
18.5	17.58139535	0	C2	L1	FS	21	0
20.5	19.81395349	0.002932527	C2	L1	FS	19	0
22.5	22.04651163	0.008518558	C2	L1	FS	18	0
24.5	24.22641509	0.027141907	C2	L1	FS	18	0
-1.5	-1.953488372	0.002759331	C2	L1	FS	17	0
0.5	0.226415094	0.006363539	C2	L1	FS	17	0
2.5	2.037735849	0.019252513	C2	L1	FS	18	0.744444444
4.5	3.849056604	0.40934238	C2	L1	FS	22	1.907407407
6.5	5.660377358	1.10443751	C2	L1	FS	26	2.533333333
8.5	7.471698113	0.971582463	C2	L1	FS	28	2.559259259
10.5	9.283018868	1.06936509	C2	L1	FS	29	1.385185185
12.5	11.09433962	0.705100407	C2	L1	FS	29	0.496296296
14.5	13.11627907	0.054493893	C2	L1	FS	26	0
16.5	15.34883721	0.004585825	C2	L1	FS	23	0
18.5	17.58139535	0.002711092	C2	L1	FS	21	0
20.5	19.81395349	0.001638899	C2	L1	FS	19	0
22.5	22.04651163	0.002933462	C2	L1	FS	18	0
24.5	24.22641509	0.003742616	C2	L1	FS	18	0
-1.5	-1.953488372	0	C2	L1	AS1	17	0
0.5	0.226415094	0	C2	L1	AS1	17	0
2.5	2.037735849	0	C2	L1	AS1	18	0.744444444
4.5	3.849056604	0	C2	L1	AS1	22	1.907407407
6.5	5.660377358	0	C2	L1	AS1	26	2.533333333
8.5	7.471698113	0	C2	L1	AS1	28	2.559259259
10.5	9.283018868	0.002595637	C2	L1	AS1	29	1.385185185
12.5	11.09433962	0	C2	L1	AS1	29	0.496296296
14.5	13.11627907	0	C2	L1	AS1	26	0
16.5	15.34883721	0	C2	L1	AS1	23	0
18.5	17.58139535	0	C2	L1	AS1	21	0
20.5	19.81395349	0	C2	L1	AS1	19	0
22.5	22.04651163	0	C2	L1	AS1	18	0
24.5	24.22641509	0	C2	L1	AS1	18	0
-1.5	-1.953488372	0	C2	L1	AS1	17	0
0.5	0.226415094	0	C2	L1	AS1	17	0
2.5	2.037735849	0	C2	L1	AS1	18	0.744444444
4.5	3.849056604	0	C2	L1	AS1	22	1.907407407
6.5	5.660377358	0.008296032	C2	L1	AS1	26	2.533333333
8.5	7.471698113	0.043140747	C2	L1	AS1	28	2.559259259
10.5	9.283018868	0.016868682	C2	L1	AS1	29	1.385185185
12.5	11.09433962	0	C2	L1	AS1	29	0.496296296
14.5	13.11627907	0	C2	L1	AS1	26	0
16.5	15.34883721	0	C2	L1	AS1	23	0
18.5	17.58139535	0	C2	L1	AS1	21	0
20.5	19.81395349	0	C2	L1	AS1	19	0
22.5	22.04651163	0	C2	L1	AS1	18	0
24.5	24.22641509	0	C2	L1	AS1	18	0
-1.5	-1.953488372	0	C2	L1	AS1	17	0
