ZT	CT	PRR73.1	Campo	Organ	Splice	Temperature	Light
-1.5	-1.953488372	0.714639417	C2	L1	FS	17	0
0.5	0.226415094	0.235707398	C2	L1	FS	17	0
2.5	2.037735849	0.287727603	C2	L1	FS	18	0.744444444
4.5	3.849056604	1.954005727	C2	L1	FS	22	1.907407407
6.5	5.660377358	1.913085703	C2	L1	FS	26	2.533333333
8.5	7.471698113	2.134709225	C2	L1	FS	28	2.559259259
10.5	9.283018868	1.720741732	C2	L1	FS	29	1.385185185
12.5	11.09433962	1.862743918	C2	L1	FS	29	0.496296296
14.5	13.11627907	2.194672653	C2	L1	FS	26	0
16.5	15.34883721	1.398977381	C2	L1	FS	23	0
18.5	17.58139535	1.346010991	C2	L1	FS	21	0
20.5	19.81395349	0.303977978	C2	L1	FS	19	0
22.5	22.04651163	0.265957254	C2	L1	FS	18	0
24.5	24.22641509	0.167359198	C2	L1	FS	18	0
-1.5	-1.953488372	0	C2	L1	FS	17	0
0.5	0.226415094	0	C2	L1	FS	17	0
2.5	2.037735849	0	C2	L1	FS	18	0.744444444
4.5	3.849056604	0	C2	L1	FS	22	1.907407407
6.5	5.660377358	0	C2	L1	FS	26	2.533333333
8.5	7.471698113	0	C2	L1	FS	28	2.559259259
10.5	9.283018868	0	C2	L1	FS	29	1.385185185
12.5	11.09433962	0	C2	L1	FS	29	0.496296296
14.5	13.11627907	0	C2	L1	FS	26	0
16.5	15.34883721	0	C2	L1	FS	23	0
18.5	17.58139535	0	C2	L1	FS	21	0
20.5	19.81395349	0	C2	L1	FS	19	0
22.5	22.04651163	0	C2	L1	FS	18	0
24.5	24.22641509	0	C2	L1	FS	18	0
-1.5	-1.953488372	0	C2	L1	FS	17	0
0.5	0.226415094	0	C2	L1	FS	17	0
2.5	2.037735849	0	C2	L1	FS	18	0.744444444
4.5	3.849056604	0	C2	L1	FS	22	1.907407407
6.5	5.660377358	0	C2	L1	FS	26	2.533333333
8.5	7.471698113	0	C2	L1	FS	28	2.559259259
10.5	9.283018868	0	C2	L1	FS	29	1.385185185
12.5	11.09433962	0	C2	L1	FS	29	0.496296296
14.5	13.11627907	0	C2	L1	FS	26	0
16.5	15.34883721	0	C2	L1	FS	23	0
18.5	17.58139535	0	C2	L1	FS	21	0
20.5	19.81395349	0	C2	L1	FS	19	0
22.5	22.04651163	0	C2	L1	FS	18	0
24.5	24.22641509	0	C2	L1	FS	18	0
-1.5	-1.953488372	0.103018117	C2	L1	AS	17	0
0.5	0.226415094	0.030063476	C2	L1	AS	17	0
2.5	2.037735849	0.106076514	C2	L1	AS	18	0.744444444
4.5	3.849056604	1.015960047	C2	L1	AS	22	1.907407407
6.5	5.660377358	0.590646593	C2	L1	AS	26	2.533333333
8.5	7.471698113	0.631536407	C2	L1	AS	28	2.559259259
10.5	9.283018868	0.519123176	C2	L1	AS	29	1.385185185
12.5	11.09433962	0.498777517	C2	L1	AS	29	0.496296296
14.5	13.11627907	0.824856839	C2	L1	AS	26	0
16.5	15.34883721	0.151603567	C2	L1	AS	23	0
18.5	17.58139535	0.131599835	C2	L1	AS	21	0
20.5	19.81395349	0.033485308	C2	L1	AS	19	0
22.5	22.04651163	0.042679862	C2	L1	AS	18	0
24.5	24.22641509	0.023556448	C2	L1	AS	18	0
-1.5	-1.953488372	0	C2	L1	AS	17	0
0.5	0.226415094	0	C2	L1	AS	17	0
2.5	2.037735849	0	C2	L1	AS	18	0.744444444
4.5	3.849056604	0	C2	L1	AS	22	1.907407407
6.5	5.660377358	0	C2	L1	AS	26	2.533333333
8.5	7.471698113	0	C2	L1	AS	28	2.559259259
10.5	9.283018868	0	C2	L1	AS	29	1.385185185
12.5	11.09433962	0	C2	L1	AS	29	0.496296296
14.5	13.11627907	0	C2	L1	AS	26	0
16.5	15.34883721	0	C2	L1	AS	23	0
18.5	17.58139535	0	C2	L1	AS	21	0
20.5	19.81395349	0	C2	L1	AS	19	0
22.5	22.04651163	0	C2	L1	AS	18	0
24.5	24.22641509	0	C2	L1	AS	18	0
-1.5	-1.953488372	0	C2	L1	AS	17	0
0.5	0.226415094	0	C2	L1	AS	17	0
2.5	2.037735849	0	C2	L1	AS	18	0.744444444
4.5	3.849056604	0	C2	L1	AS	22	1.907407407
6.5	5.660377358	0	C2	L1	AS	26	2.533333333
8.5	7.471698113	0	C2	L1	AS	28	2.559259259
10.5	9.283018868	0	C2	L1	AS	29	1.385185185
12.5	11.09433962	0	C2	L1	AS	29	0.496296296
14.5	13.11627907	0	C2	L1	AS	26	0
16.5	15.34883721	0	C2	L1	AS	23	0
18.5	17.58139535	0	C2	L1	AS	21	0
20.5	19.81395349	0	C2	L1	AS	19	0
22.5	22.04651163	0	C2	L1	AS	18	0
24.5	24.22641509	0	C2	L1	AS	18	0
