ZT	CT	PRR95.4	Campo	Organ	Splice	Temperature	Light
-1.5	-1.953488372	0	C2	L1	FS	17	0
0.5	0.226415094	0	C2	L1	FS	17	0
2.5	2.037735849	0	C2	L1	FS	18	0.744444444
4.5	3.849056604	0	C2	L1	FS	22	1.907407407
6.5	5.660377358	0.062942382	C2	L1	FS	26	2.533333333
8.5	7.471698113	0	C2	L1	FS	28	2.559259259
10.5	9.283018868	0.023008135	C2	L1	FS	29	1.385185185
12.5	11.09433962	0	C2	L1	FS	29	0.496296296
14.5	13.11627907	0	C2	L1	FS	26	0
16.5	15.34883721	0	C2	L1	FS	23	0
18.5	17.58139535	0	C2	L1	FS	21	0
20.5	19.81395349	0	C2	L1	FS	19	0
22.5	22.04651163	0	C2	L1	FS	18	0
24.5	24.22641509	0.001903813	C2	L1	FS	18	0
-1.5	-1.953488372	0.004792166	C2	L1	FS	17	0
0.5	0.226415094	0	C2	L1	FS	17	0
2.5	2.037735849	0.011111957	C2	L1	FS	18	0.744444444
4.5	3.849056604	0.055575057	C2	L1	FS	22	1.907407407
6.5	5.660377358	0.202439837	C2	L1	FS	26	2.533333333
8.5	7.471698113	0.18502346	C2	L1	FS	28	2.559259259
10.5	9.283018868	0.28894543	C2	L1	FS	29	1.385185185
12.5	11.09433962	0.10427925	C2	L1	FS	29	0.496296296
14.5	13.11627907	0.009418368	C2	L1	FS	26	0
16.5	15.34883721	0.001589629	C2	L1	FS	23	0
18.5	17.58139535	0.002469412	C2	L1	FS	21	0
20.5	19.81395349	0	C2	L1	FS	19	0
22.5	22.04651163	0.012138305	C2	L1	FS	18	0
24.5	24.22641509	0.004859244	C2	L1	FS	18	0
-1.5	-1.953488372	0.009388286	C2	L1	FS	17	0
0.5	0.226415094	0.004120162	C2	L1	FS	17	0
2.5	2.037735849	0.014169782	C2	L1	FS	18	0.744444444
4.5	3.849056604	0.185719387	C2	L1	FS	22	1.907407407
6.5	5.660377358	0.503226739	C2	L1	FS	26	2.533333333
8.5	7.471698113	0.148264857	C2	L1	FS	28	2.559259259
10.5	9.283018868	0.246810264	C2	L1	FS	29	1.385185185
12.5	11.09433962	0.145120581	C2	L1	FS	29	0.496296296
14.5	13.11627907	0.048802999	C2	L1	FS	26	0
16.5	15.34883721	0.004767185	C2	L1	FS	23	0
18.5	17.58139535	0	C2	L1	FS	21	0
20.5	19.81395349	0	C2	L1	FS	19	0
22.5	22.04651163	0	C2	L1	FS	18	0
24.5	24.22641509	0.176720434	C2	L1	FS	18	0
-1.5	-1.953488372	0	C2	L1	AS	17	0
0.5	0.226415094	0	C2	L1	AS	17	0
2.5	2.037735849	0	C2	L1	AS	18	0.744444444
4.5	3.849056604	0	C2	L1	AS	22	1.907407407
6.5	5.660377358	0.002269355	C2	L1	AS	26	2.533333333
8.5	7.471698113	0	C2	L1	AS	28	2.559259259
10.5	9.283018868	0.001036556	C2	L1	AS	29	1.385185185
12.5	11.09433962	0	C2	L1	AS	29	0.496296296
14.5	13.11627907	0	C2	L1	AS	26	0
16.5	15.34883721	0	C2	L1	AS	23	0
18.5	17.58139535	0	C2	L1	AS	21	0
20.5	19.81395349	0	C2	L1	AS	19	0
22.5	22.04651163	0	C2	L1	AS	18	0
24.5	24.22641509	0	C2	L1	AS	18	0
-1.5	-1.953488372	0	C2	L1	AS	17	0
0.5	0.226415094	0	C2	L1	AS	17	0
2.5	2.037735849	0	C2	L1	AS	18	0.744444444
4.5	3.849056604	0.001828723	C2	L1	AS	22	1.907407407
6.5	5.660377358	0.004422265	C2	L1	AS	26	2.533333333
8.5	7.471698113	0.005348357	C2	L1	AS	28	2.559259259
10.5	9.283018868	0.005203805	C2	L1	AS	29	1.385185185
12.5	11.09433962	0.002069856	C2	L1	AS	29	0.496296296
14.5	13.11627907	0	C2	L1	AS	26	0
16.5	15.34883721	0	C2	L1	AS	23	0
18.5	17.58139535	0	C2	L1	AS	21	0
20.5	19.81395349	0	C2	L1	AS	19	0
22.5	22.04651163	0	C2	L1	AS	18	0
24.5	24.22641509	0	C2	L1	AS	18	0
-1.5	-1.953488372	0	C2	L1	AS	17	0
0.5	0.226415094	0	C2	L1	AS	17	0
2.5	2.037735849	0	C2	L1	AS	18	0.744444444
4.5	3.849056604	0.005309817	C2	L1	AS	22	1.907407407
6.5	5.660377358	0.012770914	C2	L1	AS	26	2.533333333
8.5	7.471698113	0.005106293	C2	L1	AS	28	2.559259259
10.5	9.283018868	0.007466215	C2	L1	AS	29	1.385185185
12.5	11.09433962	0.002963023	C2	L1	AS	29	0.496296296
14.5	13.11627907	0	C2	L1	AS	26	0
16.5	15.34883721	0	C2	L1	AS	23	0
18.5	17.58139535	0	C2	L1	AS	21	0
20.5	19.81395349	0	C2	L1	AS	19	0
22.5	22.04651163	0	C2	L1	AS	18	0
24.5	24.22641509	0	C2	L1	AS	18	0
