Temperature	LHY_ratio	Organ	Harvest	Primer
26	-1.566042732	I5	C2	P4
22	-1.497913283	I5	C2	P1
22	-1.403237817	I5	C2	P1
26	-1.379888338	I5	C2	P4
22	-1.327275362	I5	C2	P1
29	-1.018675485	I5	C2	P4
18	-0.917647516	I5	C2	P1
18	-0.868100932	I5	C2	P1
18	-0.836918994	I5	C2	P1
22	-0.829298759	I5	C2	P4
23	-0.826294285	I5	C2	P4
18	-0.824463302	I5	C2	P1
18	-0.750235673	I5	C2	P1
22	-0.742076271	I5	C2	P4
18	-0.733894433	I5	C2	P1
17	-0.642379461	I5	C2	P1
22	-0.609774895	I5	C2	P4
29	-0.581379915	I5	C2	P4
17	-0.578147834	I5	C2	P1
17	-0.550739366	I5	C2	P1
26	-0.491983894	I5	C2	P4
17	-0.430507449	I5	C2	P1
17	-0.418457734	I5	C2	P1
21	-0.416368625	I5	C2	P4
18	-0.307311184	I5	C2	P4
18	-0.295397577	I5	C2	P4
18	-0.240607085	I5	C2	P4
21	-0.236218657	I5	C2	P4
17	-0.235420659	I5	C2	P4
18	-0.204416826	I5	C2	P4
19	-0.186494944	I5	C2	P4
17	-0.168425485	I5	C2	P1
18	-0.15436097	I5	C2	P4
18	-0.153375306	I5	C2	P4
18	-0.115926648	I5	C2	P4
19	-0.106767652	I5	C2	P4
17	-0.098293483	I5	C2	P4
18	-0.06791966	I5	C2	P4
18	0.004045393	I5	C2	P4
17	0.013401737	I5	C2	P4
17	0.055824913	I5	C2	P4
17	0.073824882	I5	C2	P4
17	0.210540895	I5	C2	P4
19	0.305192028	I5	C2	P4
