Temperature	LHY_ratio	Organ	Harvest	Primer
26	-2.200342921	L1	C2	P1
26	-2.020520384	L1	C2	P1
26	-1.977749294	L1	C2	P4
26	-1.691188022	L1	C2	P4
29	-1.576145827	L1	C2	P4
26	-1.452172577	L1	C2	P4
22	-1.426375302	L1	C2	P1
29	-1.392579231	L1	C2	P4
22	-1.350284598	L1	C2	P1
22	-1.308186428	L1	C2	P1
23	-1.140422681	L1	C2	P4
26	-1.125221336	L1	C2	P4
19	-1.027209818	L1	C2	P4
22	-0.905805283	L1	C2	P4
22	-0.885552241	L1	C2	P4
22	-0.852340382	L1	C2	P4
18	-0.847570064	L1	C2	P4
18	-0.567684455	L1	C2	P1
18	-0.552172034	L1	C2	P1
18	-0.502200694	L1	C2	P4
21	-0.422424152	L1	C2	P4
18	-0.403466778	L1	C2	P1
19	-0.403251169	L1	C2	P1
18	-0.393544725	L1	C2	P1
18	-0.390577074	L1	C2	P1
21	-0.388415707	L1	C2	P4
18	-0.383225599	L1	C2	P1
19	-0.353412588	L1	C2	P1
18	-0.310783604	L1	C2	P1
18	-0.300047734	L1	C2	P1
18	-0.298836871	L1	C2	P4
19	-0.250955348	L1	C2	P4
18	-0.218344575	L1	C2	P4
18	-0.213953348	L1	C2	P1
19	-0.200390586	L1	C2	P1
17	-0.18731612	L1	C2	P1
18	-0.16855199	L1	C2	P4
17	-0.168302308	L1	C2	P1
18	-0.168012665	L1	C2	P4
17	-0.157678042	L1	C2	P1
17	-0.127270097	L1	C2	P4
18	-0.126712404	L1	C2	P4
17	-0.101530119	L1	C2	P1
18	-0.098555197	L1	C2	P4
17	-0.075684861	L1	C2	P4
17	-0.075507074	L1	C2	P4
17	-0.054883403	L1	C2	P4
18	-0.042724952	L1	C2	P4
17	-0.040295282	L1	C2	P1
17	-0.013149724	L1	C2	P1
17	0.094576706	L1	C2	P4
17	0.132795857	L1	C2	P4
